"z","replicate","N","perccom","sd","se","ci"
0.1,1,8263,0.241113096257489,0.148213011366046,0.00163048742954978,0.00319616486907032
0.1,2,8968,0.234516428447666,0.142543951812167,0.00150522351714138,0.0029505821506287
0.1,3,8257,0.232408043533505,0.138090033475195,0.0015196766572026,0.0029789482416516
0.1,4,8564,0.246539680140466,0.152959750084502,0.00165287052846734,0.00324002467748311
0.1,5,8426,0.245147298084275,0.145105398299147,0.0015807851309205,0.00309872709668762
0.1,6,9302,0.237256761791408,0.151894253822128,0.0015749007041485,0.00308715039783755
0.1,7,9733,0.239352782734549,0.148989083839598,0.00151018825346797,0.00296028275500141
0.1,8,9410,0.236204445553876,0.145603417659475,0.00150098640022412,0.00294225777410306
0.1,9,9162,0.251238438945527,0.16168023001603,0.00168912494114604,0.00331106151133488
0.1,10,8631,0.244194416939396,0.152137426929789,0.00163759124776405,0.00321007008094896
0.1,11,9177,0.234868802913373,0.14396212777417,0.00150278859723203,0.00294580009326126
0.1,12,8753,0.253403051565732,0.165614685406335,0.00177019202454191,0.00346999249802621
0.1,13,8298,0.243916170943502,0.148487574491489,0.0016300592776886,0.00319532360894746
0.1,14,8192,0.244895532294692,0.151931003818568,0.00167861629800919,0.00329051371816886
0.1,15,9445,0.23797648263121,0.149388216405848,0.00153714685549716,0.00301313864564171
0.1,16,8184,0.238938510021119,0.142810593862004,0.00157862005111715,0.00309449615773079
0.1,17,8542,0.243302921992701,0.149684844345262,0.001619563746057,0.00317473651104711
0.1,18,7927,0.246421390958234,0.149136172869571,0.00167505304601793,0.00328354506513912
0.1,19,8496,0.24704351466296,0.160152562025438,0.00173750730340671,0.00340593701311971
0.1,20,8023,0.25387730362772,0.166142627011157,0.00185486658277795,0.00363602030212747
0.1,21,9368,0.240822566811807,0.149217808513021,0.00154169057150152,0.00302204849110093
0.1,22,7754,0.261107691305606,0.173075507603965,0.00196549849525322,0.00385290775999865
0.1,23,8972,0.241144583933906,0.150459204534751,0.00158845212123805,0.00311372905124347
0.1,24,10515,0.235773772707129,0.148895068707434,0.00145203028979146,0.00284625473076669
0.1,25,8589,0.245069697467862,0.14520933610275,0.0015668349069056,0.00307137285548715
0.1,26,9218,0.248618199712333,0.167716348722558,0.00174685576349444,0.00342422404637178
0.1,27,8903,0.24482099525359,0.152857563843731,0.00162001392312324,0.00317560071485137
0.1,28,8812,0.246610787572459,0.154585606338464,0.00164676568820413,0.0032280448744769
0.1,29,9187,0.247941995656665,0.161164103080922,0.0016814403201484,0.00329599675542585
0.1,30,8982,0.239391132800559,0.148486110548453,0.00156674856683435,0.00307118466483709
0.1,31,8861,0.239252107112717,0.146346080091427,0.00155467539753744,0.00304752410815976
0.1,32,8847,0.249996969143337,0.163649841154231,0.00173987310353092,0.00341055527287485
0.1,33,8788,0.249244611293846,0.14920844465568,0.00159165295248013,0.00312001222760736
0.1,34,7192,0.253045251581372,0.159533219691931,0.00188116240516745,0.00368763125099072
0.1,35,9585,0.24156615510959,0.145875588527545,0.00149000100927581,0.00292071717209722
0.1,36,8322,0.244170640059525,0.151594255108748,0.00166176224501259,0.00325746797809703
0.1,37,8087,0.242804588827814,0.145851370763926,0.0016218728117669,0.00317928819374527
0.1,38,7537,0.26395291597798,0.172579994811402,0.00198788471297897,0.00389680831153173
0.1,39,10282,0.248601091315181,0.159564036194947,0.00157360676350258,0.00308457572343772
0.1,40,10003,0.235190624785443,0.145516413707133,0.00145494591155029,0.00285198671076152
0.1,41,10030,0.248667532093477,0.15117512721124,0.00150948873464277,0.00295890065353862
0.1,42,9501,0.231621037990233,0.141515121116785,0.00145183809706463,0.00284591296953914
0.1,43,8819,0.243132302310747,0.147171065954006,0.0015671579284053,0.0030719947608749
0.1,44,8517,0.245718444313894,0.154466517525555,0.00167375170256107,0.00328095937217073
0.1,45,7818,0.24176153224832,0.159697064257003,0.00180613038710514,0.00354049871061781
0.1,46,9112,0.240546501126149,0.151662844387547,0.00158881137783894,0.00311442681864131
0.1,47,9571,0.238416007521451,0.148115696441633,0.00151398797884347,0.00296773725499666
0.1,48,8636,0.246017021051365,0.153964138502878,0.00165677395781858,0.00324767251179702
0.1,49,8549,0.243206466774587,0.148070581781806,0.00160144166791827,0.00313921249209168
0.1,50,8417,0.244351310497714,0.153995572399552,0.00167853178992334,0.00329033506043917
