"slope","z"
-0.5209,3
-1.083,3.1
-0.8764,3.2
-0.6623,3.3
-0.7166,3.4
-0.5602,3.5
-0.5847,3.6
-0.6777,3.7
-0.6038,3.8
-0.5259,3.9
-0.4428,4
-0.5606,4.1
-0.7021,4.2
-0.6658,4.3
-0.4566,4.4
-0.6049,4.5
-0.8857,4.6
-0.5194,4.7
-0.6732,4.8
-0.5112,4.9
-0.9497,5
-1.5886,0.1
-2.1168,0.2
-1.3258,0.3
-1.4508,0.4
-1.5181,0.5
-1.4788,0.6
-1.1965,0.7
-1.0896,0.8
-1.0989,0.9
-1.1232,1
-1.007,1.1
-0.9104,1.2
-1.0022,1.3
-0.4539,1.4
-0.6667,1.5
-0.6495,1.6
-1.1142,1.7
-1.0198,1.8
-0.7258,1.9
-0.6394,2
-0.9698,2.1
-0.7341,2.2
-0.694,2.3
-0.9844,2.4
-0.7886,2.5
-0.7425,2.6
-0.639,2.7
-0.8679,2.8
-0.6718,2.9
-0.826,3
-0.5034,3.1
-0.7167,3.2
-0.8439,3.3
-0.8542,3.4
-0.6838,3.5
-0.5433,3.6
-0.7112,3.7
-0.8118,3.8
-0.688,3.9
-0.597,4
-1.027,4.1
-1.0914,4.2
-0.8684,4.3
-0.659,4.4
-0.5036,4.5
-1.3404,4.6
-0.6143,4.7
-0.5907,4.8
-0.5428,4.9
-0.7703,5
-1.4307,0.1
-1.8486,0.2
-1.4514,0.3
-1.7619,0.4
-1.9716,0.5
-1.5341,0.6
-1.3085,0.7
-0.7898,0.8
-0.975,0.9
-0.8576,1
-0.9486,1.1
-0.849,1.2
-0.7802,1.3
-0.8887,1.4
-1.0127,1.5
-0.928,1.6
-0.7237,1.7
-0.6033,1.8
-0.5807,1.9
-0.5226,2
-0.8368,2.1
-0.7834,2.2
-0.8719,2.3
-0.5564,2.4
-0.8933,2.5
-0.6504,2.6
-0.6542,2.7
-0.2346,2.8
-0.6836,2.9
-0.7231,3
-0.4535,3.1
-0.4996,3.2
-0.6856,3.3
-0.6854,3.4
-0.5127,3.5
-0.8448,3.6
-0.6315,3.7
-0.3951,3.8
-0.5809,3.9
-0.5729,4
-0.5125,4.1
-0.6632,4.2
-0.5023,4.3
-0.6432,4.4
-0.7346,4.5
-0.388,4.6
-0.5173,4.7
-0.5693,4.8
-0.6091,4.9
-0.5857,5
-1.4437,0.1
-2.1123,0.2
-1.3488,0.3
-1.28,0.4
-0.9549,0.5
-1.3341,0.6
-1.4831,0.7
-1.0703,0.8
-0.9387,0.9
-1.0722,1
-1.0747,1.1
-0.6275,1.2
-1.1025,1.3
-0.6663,1.4
-1.181,1.5
-0.6434,1.6
-0.7049,1.7
-0.4354,1.8
-1.0363,1.9
-0.4003,2
-0.9053,2.1
-0.7008,2.2
-0.8706,2.3
-0.5281,2.4
-0.9932,2.5
-0.8917,2.6
-1.0798,2.7
-0.9804,2.8
-0.556,2.9
-0.7383,3
-0.8888,3.1
-0.8937,3.2
-1.052,3.3
-0.8932,3.4
-0.5683,3.5
-1.1185,3.6
-0.7133,3.7
-0.5295,3.8
-0.4996,3.9
-1.3215,4
-1.1586,4.1
-0.6742,4.2
-0.5848,4.3
-1.2805,4.4
-0.534,4.5
-0.8928,4.6
-0.7613,4.7
-0.5895,4.8
-0.502,4.9
-0.6818,5
-1.408,0.1
-1.9818,0.2
-1.9571,0.3
-1.7359,0.4
-1.0252,0.5
-1.589,0.6
-1.6824,0.7
-1.4807,0.8
-1.2537,0.9
-0.9006,1
-1.0667,1.1
-0.8425,1.2
-0.9989,1.3
-0.7752,1.4
-0.5683,1.5
-0.9008,1.6
-0.4529,1.7
-0.9431,1.8
-0.6227,1.9
-1.2269,2
