"z","time","maxtrop","replicate"
0.1,9300000,3.733645,11
0.1,9350000,3.733665,11
0.1,9400000,3.733668,11
0.1,9450000,3.733668,11
0.1,9500000,3.733668,11
0.1,9550000,3.733668,11
0.1,9600000,3.733668,11
0.1,9650000,3.733668,11
0.1,9700000,3.733668,11
0.1,9750000,3.733669,11
0.1,9800000,3.733679,11
0.1,9850000,3.733897,11
0.1,9900000,3.735106,11
0.1,9950000,3.739015,11
0.1,1e+07,3.751194,11
0.1,10050000,3.758622,11
0.1,10100000,3.786246,11
0.1,10150000,3.804634,11
0.1,10200000,3.738012,11
0.1,10250000,3.742955,11
0.1,10300000,3.69915,11
0.1,10350000,3.763727,11
0.1,10400000,3.755362,11
0.1,10450000,3.734695,11
0.1,10500000,3.718985,11
0.1,10550000,3.718915,11
0.1,10600000,3.720583,11
0.1,10650000,3.701854,11
0.1,10700000,3.688453,11
0.1,10750000,3.688043,11
0.1,10800000,3.711644,11
0.1,10850000,3.710743,11
0.1,10900000,3.710747,11
0.1,10950000,3.710777,11
0.1,1.1e+07,3.744266,11
0.1,11050000,3.767851,11
0.1,11100000,3.764187,11
0.1,11150000,3.781194,11
0.1,11200000,3.780708,11
0.1,11250000,3.781717,11
0.1,11300000,3.784741,11
0.1,11350000,3.784593,11
0.1,11400000,3.788376,11
0.1,11450000,3.792384,11
0.1,11500000,3.79238,11
0.1,11550000,3.801537,11
0.1,11600000,3.766345,11
0.1,11650000,3.784823,11
0.1,11700000,3.789498,11
0.1,11750000,3.778307,11
0.1,11800000,3.781477,11
0.1,11850000,3.78248,11
0.1,11900000,3.817948,11
0.1,11950000,3.815007,11
0.1,1.2e+07,3.746258,11
0.1,12050000,3.736211,11
0.1,12100000,3.711052,11
0.1,12150000,3.706766,11
0.1,12200000,3.705781,11
0.1,12250000,3.738966,11
0.1,12300000,3.717789,11
0.1,12350000,3.70775,11
0.1,12400000,3.705787,11
0.1,12450000,3.704486,11
0.1,12500000,3.717807,11
0.1,12550000,3.714695,11
0.1,12600000,3.714895,11
0.1,12650000,3.715062,11
0.1,12700000,3.740032,11
0.1,12750000,3.739463,11
0.1,12800000,3.738945,11
0.1,12850000,3.73909,11
0.1,12900000,3.739097,11
0.1,12950000,3.739098,11
0.1,1.3e+07,3.739098,11
0.1,13050000,3.739098,11
0.1,13100000,3.739098,11
0.1,13150000,3.739098,11
0.1,13200000,3.739084,11
0.1,13250000,3.742532,11
0.1,13300000,3.7461,11
0.1,13350000,3.78265,11
0.1,13400000,3.916969,11
0.1,13450000,3.901509,11
0.1,13500000,3.910128,11
0.1,13550000,3.910195,11
0.1,13600000,3.910194,11
0.1,13650000,3.910194,11
0.1,13700000,3.910194,11
0.1,13750000,3.910194,11
0.1,13800000,3.910194,11
0.1,13850000,3.910194,11
0.1,13900000,3.910197,11
0.1,13950000,3.910624,11
0.1,1.4e+07,3.90012,11
0.1,14050000,3.893092,11
0.1,14100000,3.900289,11
0.1,14150000,3.899829,11
0.1,14200000,3.897352,11
0.1,14250000,3.904965,11
0.1,14300000,3.847637,11
0.1,14350000,3.84838,11
0.1,14400000,3.848607,11
0.1,14450000,3.848732,11
0.1,14500000,3.848814,11
0.1,14550000,3.84887,11
0.1,14600000,3.84751,11
0.1,14650000,3.805641,11
0.1,14700000,3.820479,11
0.1,14750000,3.840566,11
0.1,14800000,3.823886,11
0.1,14850000,3.833347,11
0.1,14900000,3.836133,11
0.1,14950000,3.836124,11
0.1,1.5e+07,3.836126,11
0.1,15050000,3.836571,11
0.1,15100000,3.840126,11
0.1,15150000,3.783907,11
0.1,15200000,3.770954,11
0.1,15250000,3.770296,11
0.1,15300000,3.770156,11
0.1,15350000,3.770115,11
0.1,15400000,3.77492,11
0.1,15450000,3.801873,11
0.1,15500000,3.796867,11
0.1,15550000,3.730731,11
0.1,15600000,3.707704,11
0.1,15650000,3.689713,11
0.1,15700000,3.7304,11
0.1,15750000,3.740279,11
0.1,15800000,3.76108,11
0.1,15850000,3.68166,11
0.1,15900000,3.679426,11
0.1,15950000,3.695283,11
0.1,1.6e+07,3.678846,11
0.1,16050000,3.678417,11
0.1,16100000,3.657669,11
0.1,16150000,3.670789,11
0.1,16200000,3.697499,11
0.1,16250000,3.692165,11
0.1,16300000,3.6921,11
0.1,16350000,3.692342,11
0.1,16400000,3.692374,11
0.1,16450000,3.692361,11
0.1,16500000,3.705194,11
0.1,16550000,3.692646,11
0.1,16600000,3.653836,11
0.1,16650000,3.649143,11
0.1,16700000,3.654442,11
0.1,16750000,3.654216,11
0.1,16800000,3.654216,11
0.1,16850000,3.684007,11
0.1,16900000,3.691461,11
0.1,16950000,3.691921,11
0.1,1.7e+07,3.692321,11
0.1,17050000,3.69237,11
0.1,17100000,3.734597,11
0.1,17150000,3.734535,11
0.1,17200000,3.730718,11
0.1,17250000,3.723705,11
0.1,17300000,3.722486,11
0.1,17350000,3.679684,11
0.1,17400000,3.679288,11
0.1,17450000,3.678883,11
0.1,17500000,3.678685,11
0.1,17550000,3.678625,11
0.1,17600000,3.654597,11
0.1,17650000,3.655866,11
0.1,17700000,3.656185,11
0.1,17750000,3.658587,11
0.1,17800000,3.660184,11
0.1,17850000,3.660408,11
0.1,17900000,3.659868,11
0.1,17950000,3.647104,11
0.1,1.8e+07,3.646558,11
0.1,18050000,3.653411,11
0.1,18100000,3.664506,11
0.1,18150000,3.65993,11
0.1,18200000,3.661255,11
0.1,18250000,3.660776,11
0.1,18300000,3.659132,11
0.1,18350000,3.656473,11
0.1,18400000,3.65656,11
0.1,18450000,3.657166,11
0.1,18500000,3.657653,11
0.1,18550000,3.65797,11
0.1,18600000,3.658168,11
0.1,18650000,3.8655,11
0.1,18700000,3.865927,11
0.1,18750000,3.865009,11
0.1,18800000,3.878296,11
0.1,18850000,3.842147,11
0.1,18900000,3.845509,11
0.1,18950000,3.852134,11
0.1,1.9e+07,3.851931,11
0.1,19050000,3.851731,11
0.1,19100000,3.851092,11
0.1,19150000,3.8492,11
0.1,19200000,3.846765,11
0.1,19250000,3.845123,11
0.1,19300000,3.837977,11
0.1,19350000,3.834789,11
0.1,19400000,3.834529,11
0.1,19450000,3.834517,11
0.1,19500000,3.834517,11
0.1,19550000,3.834517,11
0.1,19600000,3.834518,11
0.1,19650000,3.834534,11
0.1,19700000,3.835247,11
0.1,19750000,3.840393,11
0.1,19800000,3.842908,11
0.1,19850000,3.843138,11
0.1,19900000,3.843876,11
0.1,19950000,3.744854,11
0.1,2e+07,3.74767,11
0.1,20050000,3.728427,11
0.1,20100000,3.662093,11
0.1,20150000,3.661039,11
0.1,20200000,3.663315,11
0.1,20250000,3.66536,11
0.1,20300000,3.654993,11
0.1,20350000,3.664654,11
0.1,20400000,3.634577,11
0.1,20450000,3.634745,11
0.1,20500000,3.636561,11
0.1,20550000,3.640219,11
0.1,20600000,3.640026,11
0.1,20650000,3.602128,11
0.1,20700000,3.602206,11
0.1,20750000,3.602211,11
0.1,20800000,3.602273,11
0.1,20850000,3.60227,11
0.1,20900000,3.602003,11
0.1,20950000,3.609957,11
0.1,2.1e+07,3.777173,11
0.1,21050000,3.771282,11
0.1,21100000,3.769228,11
0.1,21150000,3.869357,11
0.1,21200000,3.87293,11
0.1,21250000,3.883794,11
0.1,21300000,3.897128,11
0.1,21350000,3.898209,11
0.1,21400000,3.898244,11
0.1,21450000,3.898217,11
0.1,21500000,3.898275,11
0.1,21550000,3.902444,11
0.1,21600000,3.904344,11
0.1,21650000,3.930791,11
0.1,21700000,3.885942,11
0.1,21750000,4.015296,11
0.1,21800000,4.020375,11
0.1,21850000,4.027764,11
0.1,21900000,4.027763,11
0.1,21950000,4.026899,11
0.1,2.2e+07,4.017251,11
0.1,22050000,4.017422,11
0.1,22100000,4.015858,11
0.1,22150000,4.017739,11
0.1,22200000,4.020045,11
0.1,22250000,4.02135,11
0.1,22300000,4.021907,11
0.1,22350000,4.02162,11
0.1,22400000,4.021459,11
0.1,22450000,4.010065,11
0.1,22500000,4.009452,11
0.1,22550000,4.008787,11
0.1,22600000,4.00832,11
0.1,22650000,4.008059,11
0.1,22700000,4.005666,11
0.1,22750000,3.97688,11
0.1,22800000,3.975739,11
0.1,22850000,3.975126,11
0.1,22900000,3.984452,11
0.1,22950000,3.980423,11
0.1,2.3e+07,3.968701,11
0.1,23050000,3.967869,11
0.1,23100000,3.970295,11
0.1,23150000,3.970315,11
0.1,23200000,3.970143,11
0.1,23250000,4.061098,11
0.1,23300000,4.08559,11
0.1,23350000,4.001636,11
0.1,23400000,4.006478,11
0.1,23450000,4.004973,11
0.1,23500000,4.005612,11
0.1,23550000,4.016404,11
0.1,23600000,4.035071,11
0.1,23650000,4.039811,11
0.1,23700000,4.040037,11
0.1,23750000,4.039999,11
0.1,23800000,4.039824,11
0.1,23850000,4.039514,11
0.1,23900000,4.039243,11
0.1,23950000,4.039129,11
0.1,2.4e+07,4.039097,11
0.1,24050000,4.039088,11
0.1,24100000,4.039085,11
0.1,24150000,4.039111,11
0.1,24200000,4.038614,11
0.1,24250000,4.035536,11
0.1,24300000,4.021886,11
0.1,24350000,4.01451,11
0.1,24400000,4.013851,11
0.1,24450000,3.973663,11
0.1,24500000,3.973652,11
0.1,24550000,3.973649,11
0.1,24600000,3.973649,11
0.1,24650000,3.973648,11
0.1,24700000,3.973648,11
0.1,24750000,3.973645,11
0.1,24800000,3.973639,11
0.1,24850000,3.973622,11
0.1,24900000,3.973598,11
0.1,24950000,3.973587,11
0.1,2.5e+07,3.9736,11
0.2,50000,2.569957,11
0.2,1e+05,2.89354,11
0.2,150000,2.596233,11
0.2,2e+05,2.490595,11
0.2,250000,2.345012,11
0.2,3e+05,3.089873,11
0.2,350000,3.246129,11
0.2,4e+05,3.392174,11
0.2,450000,3.182349,11
0.2,5e+05,3.103659,11
0.2,550000,3.063251,11
0.2,6e+05,3.196808,11
0.2,650000,3.437301,11
0.2,7e+05,3.540219,11
0.2,750000,3.384039,11
0.2,8e+05,3.727372,11
0.2,850000,3.655576,11
0.2,9e+05,3.350764,11
0.2,950000,3.605776,11
0.2,1e+06,3.876637,11
0.2,1050000,3.900012,11
0.2,1100000,3.904278,11
0.2,1150000,3.882772,11
0.2,1200000,3.891042,11
0.2,1250000,4.088534,11
0.2,1300000,3.408468,11
0.2,1350000,3.990278,11
0.2,1400000,3.734883,11
0.2,1450000,3.58628,11
0.2,1500000,4.076196,11
0.2,1550000,3.81748,11
0.2,1600000,3.198827,11
0.2,1650000,3.280277,11
0.2,1700000,3.479608,11
0.2,1750000,3.632183,11
0.2,1800000,3.654199,11
0.2,1850000,3.838302,11
0.2,1900000,3.663547,11
0.2,1950000,3.690783,11
0.2,2e+06,3.644827,11
0.2,2050000,3.646837,11
0.2,2100000,3.496328,11
0.2,2150000,3.42364,11
0.2,2200000,3.606319,11
0.2,2250000,3.281413,11
0.2,2300000,3.294476,11
0.2,2350000,3.470009,11
0.2,2400000,3.507403,11
0.2,2450000,3.444489,11
0.2,2500000,3.293854,11
0.2,2550000,3.271924,11
0.2,2600000,3.2604,11
0.2,2650000,3.249624,11
0.2,2700000,3.276013,11
0.2,2750000,3.282304,11
0.2,2800000,3.743864,11
0.2,2850000,3.987886,11
0.2,2900000,3.964805,11
0.2,2950000,3.993302,11
0.2,3e+06,4.003801,11
0.2,3050000,4.003653,11
0.2,3100000,4.002224,11
0.2,3150000,4.002224,11
0.2,3200000,4.008416,11
0.2,3250000,4.00834,11
0.2,3300000,4.045619,11
0.2,3350000,4.056809,11
0.2,3400000,3.53102,11
0.2,3450000,3.339047,11
0.2,3500000,3.269189,11
0.2,3550000,3.17187,11
0.2,3600000,3.316211,11
0.2,3650000,3.880768,11
0.2,3700000,3.952506,11
0.2,3750000,3.972074,11
0.2,3800000,3.996346,11
0.2,3850000,4.000149,11
0.2,3900000,4.002052,11
0.2,3950000,4.010929,11
0.2,4e+06,3.990078,11
0.2,4050000,3.99612,11
0.2,4100000,4.022874,11
0.2,4150000,4.062255,11
0.2,4200000,4.047846,11
0.2,4250000,3.919771,11
0.2,4300000,3.934869,11
0.2,4350000,3.944006,11
0.2,4400000,3.941155,11
0.2,4450000,3.92493,11
0.2,4500000,3.932837,11
0.2,4550000,3.932987,11
0.2,4600000,3.947794,11
0.2,4650000,3.938204,11
0.2,4700000,3.971378,11
0.2,4750000,3.933368,11
0.2,4800000,3.951946,11
0.2,4850000,3.950754,11
0.2,4900000,3.92595,11
0.2,4950000,3.913184,11
0.2,5e+06,3.915989,11
0.2,5050000,3.767836,11
0.2,5100000,3.901486,11
0.2,5150000,3.898159,11
0.2,5200000,3.89647,11
0.2,5250000,3.808517,11
0.2,5300000,3.820853,11
0.2,5350000,3.735803,11
0.2,5400000,3.865533,11
0.2,5450000,3.823628,11
0.2,5500000,3.768871,11
0.2,5550000,3.85951,11
0.2,5600000,3.788773,11
0.2,5650000,3.948045,11
0.2,5700000,3.87399,11
0.2,5750000,3.849885,11
0.2,5800000,3.781951,11
