"specrich","time","bodysize","feedingcenter","feedingrange","popbiomass","trophicpos","popdensity","z","trophicposCLEAN","tfeedingcenter","tbodysize","replicate","maxattack","numberofsp","allmean","allsd","allmax","allmin","numberofspR","allmeanR","allsdR","allmaxR","allminR","bredth","totalspec","perccom"
2,50000,1.111504,-0.005641,0.308269,0.00514863,1.015056,0.00463212907915761,5,1.015056,0.987095108979704,12.9271860713031,2,8.82283611442439,2,11.6647744780748,1.78531959644049,12.9271860713031,10.4023628848465,1,1,NA,1,1,0,3,0.333333333333333
2,50000,1.017132,0.038547,0.303784,2.16385832,1.020686,2.12741150607787,5,1.020686,1.09281588696349,10.4023628848465,2,7.60666288668737,2,11.6647744780748,1.78531959644049,12.9271860713031,10.4023628848465,1,1,NA,1,1,0,3,0.333333333333333
7,1e+05,1.473923,-0.022404,0.305458,0.87898353,1.145433,0.596356478594879,5,1.145433,0.9497209100693,29.779883881014,2,16.6494852856614,7,13.0653476892121,14.7858976308774,38.8634185617178,3.78726766542106,4,3.12508413625911,1.4176017576049,3.90277037765556,1,2.90277037765556,8,0.5
7,1e+05,0.591373,0.744577,0.302802,0.25414623,2.828018,0.429756228302611,5,2.828018,5.55363073737752,3.90277037765556,2,3.65831482064927,7,13.0653476892121,14.7858976308774,38.8634185617178,3.78726766542106,5,4.56282627635052,1.15716029291357,6.48110414206809,3.78726766542106,2.69383647664703,8,0.625
7,1e+05,0.811649,0.070597,0.31107,0.35754292,1.272621,0.440514212424336,5,1.272621,1.17651373057022,6.48110414206809,2,5.20941176628249,7,13.0653476892121,14.7858976308774,38.8634185617178,3.78726766542106,5,3.4666054479369,1.44581468004166,4.83269069464806,1,3.83269069464806,8,0.625
7,1e+05,0.580959,0.200315,0.311495,0.0310473,1.551072,0.0534414648882279,5,1.551072,1.58604315515616,3.81029850195982,2,3.49283633233002,7,13.0653476892121,14.7858976308774,38.8634185617178,3.78726766542106,6,3.96902189695877,1.78517164460609,6.48110414206809,1,5.48110414206809,8,0.75
7,1e+05,0.684189,1.318901,0.33753,0.23186055,2.249305,0.338883773343331,5,2.249305,20.8401576520656,4.83269069464806,2,3.85247151648134,7,13.0653476892121,14.7858976308774,38.8634185617178,3.78726766542106,4,19.989274319862,16.9733324677433,38.8634185617178,4.83269069464806,34.0307278670697,8,0.5
7,1e+05,1.589541,-0.006661,0.333681,0.00827927,1.222861,0.00520859166262462,5,1.222861,0.984779501411728,38.8634185617178,2,18.6094842651085,7,13.0653476892121,14.7858976308774,38.8634185617178,3.78726766542106,5,3.4666054479369,1.44581468004166,4.83269069464806,1,3.83269069464806,8,0.625
7,1e+05,0.578326,1.373711,0.316134,0.00553535,2.202524,0.00957133174022956,5,2.202524,23.6434582682536,3.78726766542106,2,3.42596845150882,7,13.0653476892121,14.7858976308774,38.8634185617178,3.78726766542106,3,25.0414688616,16.7030836813272,38.8634185617178,6.48110414206809,32.3823144196497,8,0.375
7,150000,2.027431,-0.018032,0.306423,1.55335557,1.034554,0.766169388748618,5,1.034554,0.959329942869276,106.519961304303,2,43.1680027491237,7,20.2800638787196,38.039856502973,106.519961304303,4.89529648384562,1,1,NA,1,1,0,8,0.125
7,150000,0.813733,-0.044417,0.305288,0.31909111,1.027279,0.392132443934313,5,1.027279,0.902782225815383,6.51227902418998,2,5.32721324984901,7,20.2800638787196,38.039856502973,106.519961304303,4.89529648384562,1,1,NA,1,1,0,8,0.125
7,150000,0.69582,1.443234,0.620348,0.07659975,2.126807,0.110085582478227,5,2.126807,27.7481478578072,4.96386543803331,2,2.13864981947078,7,20.2800638787196,38.039856502973,106.519961304303,4.89529648384562,7,20.2800638787196,38.039856502973,106.519961304303,4.89529648384562,101.624664820457,8,0.875
7,150000,0.827858,0.842032,0.312977,0.00059063,2.476002,0.000713443609894451,5,2.476002,6.95075530759791,6.72756651039144,2,5.32465093749253,7,20.2800638787196,38.039856502973,106.519961304303,4.89529648384562,6,5.90674764112238,1.03061832214221,7.22407090547507,4.89529648384562,2.32877442162945,8,0.75
7,150000,0.858782,0.713711,0.301234,0.17218224,2.39983,0.200495865074023,5,2.39983,5.1726250656738,7.22407090547507,2,5.8356948858732,7,20.2800638787196,38.039856502973,106.519961304303,4.89529648384562,6,5.90674764112238,1.03061832214221,7.22407090547507,4.89529648384562,2.32877442162945,8,0.75
7,150000,0.70905,0.071253,0.300952,0.07124278,1.063938,0.100476383893943,5,1.063938,1.1782921924851,5.11740748479888,2,4.51024705919784,7,20.2800638787196,38.039856502973,106.519961304303,4.89529648384562,4,3.99414235166945,1.99825378898095,5.11740748479888,1,4.11740748479888,8,0.5
7,150000,0.689779,1.49364,0.525042,2.45e-06,2.137002,3.55186226313065e-06,5,2.137002,31.1630531221429,4.89529648384562,2,2.50063479722179,7,20.2800638787196,38.039856502973,106.519961304303,4.89529648384562,7,20.2800638787196,38.039856502973,106.519961304303,4.89529648384562,101.624664820457,8,0.875
9,2e+05,2.027431,-0.018032,0.306423,0.81621335,1.077227,0.40258502015605,5,1.077227,0.959329942869276,106.519961304303,2,43.1680027491237,9,67.9153460175178,105.603919054767,335.003234324856,3.65416370783701,2,2.3270818539185,1.87677715619078,3.65416370783701,1,2.65416370783701,10,0.2
9,2e+05,0.70905,0.071253,0.300952,0.66947024,1.129159,0.94417916931105,5,1.129159,1.1782921924851,5.11740748479888,2,4.51024705919784,9,67.9153460175178,105.603919054767,335.003234324856,3.65416370783701,3,3.2571903975453,2.08721152636297,5.11740748479888,1,4.11740748479888,10,0.3
9,2e+05,2.525049,2.026027,0.761369,0.00010292,2.455233,4.07596050611295e-05,5,2.455233,106.176156464835,335.003234324856,2,41.0300102795266,9,67.9153460175178,105.603919054767,335.003234324856,3.65416370783701,9,67.9153460175178,105.603919054767,335.003234324856,3.65416370783701,331.349070617019,10,0.9
9,2e+05,0.562788,2.007615,0.325373,0.07938055,2.183689,0.141048760812242,5,2.183689,101.768881173983,3.65416370783701,2,3.24055617402517,9,67.9153460175178,105.603919054767,335.003234324856,3.65416370783701,6,97.1932556536517,121.357714829032,335.003234324856,20.8390539978544,314.164180327002,10,0.6
9,2e+05,1.318878,0.918336,0.320446,0.39961222,2.554741,0.302994075267007,5,2.554741,8.28582964411491,20.8390539978544,2,12.1426565399611,9,67.9153460175178,105.603919054767,335.003234324856,3.65416370783701,6,16.4006401337555,9.56164032281147,24.7648670033483,3.65416370783701,21.1107032955113,10,0.6
9,2e+05,1.393072,1.130494,0.345863,0.096397,2.937046,0.0691974284171959,5,2.937046,13.5049816990443,24.7213395655799,2,12.7882159552131,9,67.9153460175178,105.603919054767,335.003234324856,3.65416370783701,7,24.2449883612145,22.5149742434042,71.3110777259686,3.65416370783701,67.6569140181316,10,0.7
9,2e+05,1.393836,0.788348,0.421054,2.1e-07,2.322008,1.50663349203206e-07,5,2.322008,6.14254009516738,24.7648670033483,2,10.5183899713235,9,67.9153460175178,105.603919054767,335.003234324856,3.65416370783701,7,14.2005486860761,10.4914387970736,24.7648670033483,1,23.7648670033483,10,0.7
9,2e+05,1.285715,0.861301,0.300028,5e-08,2.441101,3.88888672839626e-08,5,2.441101,7.266093800174,19.3070090431144,2,12.2471356697499,9,67.9153460175178,105.603919054767,335.003234324856,3.65416370783701,6,16.4006401337555,9.56164032281147,24.7648670033483,3.65416370783701,21.1107032955113,10,0.6
9,2e+05,1.853157,0.022444,0.314323,3.7e-07,1.110947,1.99659284129731e-07,5,1.110947,1.05303789465096,71.3110777259686,2,31.1459552267072,9,67.9153460175178,105.603919054767,335.003234324856,3.65416370783701,2,2.3270818539185,1.87677715619078,3.65416370783701,1,2.65416370783701,10,0.2
8,250000,1.558624,0.738629,0.301591,0.40187826,2.359407,0.25784169883179,5,2.359407,5.47808794348921,36.1929514295765,2,19.519095482503,8,20.6302171484444,24.3724901217594,75.7327975766757,5.38838973345923,6,8.8526646968839,3.07799949631041,13.7099225063396,5.38838973345923,8.32153277288037,9,0.666666666666667
8,250000,1.879284,-0.080899,0.300451,0.49154364,1.02377,0.261558998001367,5,1.02377,0.830043780959937,75.7327975766757,2,34.0878344483246,8,20.6302171484444,24.3724901217594,75.7327975766757,5.38838973345923,1,1,NA,1,1,0,9,0.111111111111111
8,250000,0.731459,0.060393,0.301521,0.72053289,1.074565,0.98506258040437,5,1.074565,1.14919307425007,5.38838973345923,2,4.67936315391484,8,20.6302171484444,24.3724901217594,75.7327975766757,5.38838973345923,1,1,NA,1,1,0,9,0.111111111111111
8,250000,1.137035,1.522026,0.300737,0.10048277,2.97453,0.0883726270519377,5,2.97453,33.2679469290296,13.7099225063396,2,9.45147201385084,8,20.6302171484444,24.3724901217594,75.7327975766757,5.38838973345923,6,25.5004829923639,26.7882951318257,75.7327975766757,7.69700909971042,68.0357884769653,9,0.666666666666667
8,250000,1.048752,1.421718,0.33272,0.21344879,3.028825,0.203526467649168,5,3.028825,26.4069352163234,11.1879882090623,2,7.33491623355802,8,20.6302171484444,24.3724901217594,75.7327975766757,5.38838973345923,8,20.6302171484444,24.3724901217594,75.7327975766757,5.38838973345923,70.3444078432165,9,0.888888888888889
8,250000,0.886322,0.110239,0.305448,0.02455148,1.114999,0.0277004068498807,5,1.114999,1.28895869350903,7.69700909971042,2,6.03551425499308,8,20.6302171484444,24.3724901217594,75.7327975766757,5.38838973345923,2,3.19419486672962,3.10306013901845,5.38838973345923,1,4.38838973345923,9,0.222222222222222
8,250000,0.92851,0.09007,0.308615,0.07652787,1.103643,0.0824200816361698,5,1.103643,1.23046708269124,8.48222913281903,2,6.42503555065014,8,20.6302171484444,24.3724901217594,75.7327975766757,5.38838973345923,2,3.19419486672962,3.10306013901845,5.38838973345923,1,4.38838973345923,9,0.222222222222222
8,250000,0.822851,0.044627,0.300454,0.00035791,1.064761,0.000434963316566426,5,1.064761,1.10822259365109,6.6504494999128,2,5.49883040775614,8,20.6302171484444,24.3724901217594,75.7327975766757,5.38838973345923,1,1,NA,1,1,0,9,0.111111111111111
6,3e+05,1.558624,0.738629,0.301591,0.35748309,2.321406,0.229358132557949,5,2.321406,5.47808794348921,36.1929514295765,2,19.519095482503,6,26.6653785032313,27.0864478000046,75.7327975766757,3.77241097788686,3,7.39487708124198,5.25934803575056,13.4273713495094,3.77241097788686,9.65496037162254,7,0.428571428571429
