"speciesType","N","feedingRange","sd","se","ci","z"
"Invader",1642,0.321807943970767,0.0350296088700832,0.000864467582229282,0.00169557592981679,0.1
"Mutant",550,0.340032409090909,0.0704837730419393,0.00300543818079754,0.00590356551287837,0.1
"Invader",471,0.344280872611465,0.0799790208963916,0.0036852387546047,0.00724158323259186,0.2
"Mutant",327,0.325599834862385,0.050991472129462,0.00281983485208925,0.00554736952265136,0.2
"Invader",448,0.327129625,0.0440318786152885,0.00208031072455422,0.00408840394837949,0.3
"Mutant",306,0.318779513071895,0.0410205661120405,0.0023449896833199,0.00461440587055773,0.3
"Invader",607,0.35653749752883,0.0824133334539963,0.00334505401709218,0.00656930582657114,0.4
"Mutant",826,0.337081950363196,0.0694218542531486,0.00241549523893726,0.00474123940994159,0.4
"Invader",514,0.354986087548638,0.0799462739769002,0.00352627897783935,0.00692772429085179,0.5
"Mutant",937,0.325115002134472,0.0438812839713267,0.00143353906123915,0.00281332282627208,0.5
"Invader",297,0.336547585858586,0.0469363946893308,0.00272352585551005,0.00535992810040427,0.6
"Mutant",367,0.309363572207084,0.0197992305626726,0.00103351142262277,0.00203236581989449,0.6
"Invader",279,0.345992003584229,0.057252802279725,0.00342763561510974,0.00674741716103227,0.7
"Mutant",402,0.315555582089552,0.0284839362833509,0.00142064961858687,0.00279285148431122,0.7
"Invader",282,0.348978219858156,0.058552538004635,0.00348675289757367,0.00686347116740847,0.8
"Mutant",485,0.314784713402062,0.0265062177679485,0.0012035853486429,0.00236489770194778,0.8
"Invader",262,0.350744347328244,0.0528502189256402,0.00326509742936363,0.00642928612164372,0.9
"Mutant",503,0.312069892644135,0.0238174073894157,0.00106196570685291,0.00208644492149072,0.9
"Invader",175,0.362022674285714,0.0875129205912835,0.00661535498255656,0.0130566695000196,1
"Mutant",562,0.317255713523132,0.0340451564941478,0.00143610824981257,0.00282080614324881,1
"Invader",152,0.354701427631579,0.0642132433593196,0.00520838179658216,0.01029071514852,1.1
"Mutant",380,0.309833671052632,0.0185650444971658,0.000952366687979486,0.00187258430708555,1.1
"Invader",247,0.374149234817814,0.0965834198341268,0.00614545583965474,0.0121044227590991,1.2
"Mutant",789,0.323136129277567,0.0412048524042787,0.00146693159045515,0.00287955595307368,1.2
"Invader",406,0.397935487684729,0.113037755720312,0.00560996962187297,0.0110282953359685,1.3
"Mutant",2240,0.335331549107143,0.0646485413253714,0.00136594974407825,0.00267866032715923,1.3
"Invader",149,0.386602604026846,0.113149208948389,0.00926954437519989,0.0183177551453832,1.4
"Mutant",793,0.327842210592686,0.0461630693834783,0.00163929865932242,0.00321788389505621,1.4
"Invader",159,0.396315735849057,0.102434065215757,0.0081235497850912,0.0160447587828156,1.5
