"speciesType","N","feedingRange","sd","se","ci","z"
"Mutant",940,0.330679885106383,0.0492042153011628,0.00160486454767571,0.00314953635423537,1.5
"Invader",123,0.36576006504065,0.063430223028058,0.00571931060245828,0.0113219465736537,1.6
"Mutant",470,0.317104127659574,0.0345985873420389,0.0015959138288372,0.00313602651273432,1.6
"Invader",226,0.4021085,0.117129402872104,0.00779133198229282,0.0153533135659229,1.7
"Mutant",1493,0.332247451440054,0.0584891186419137,0.00151371869016196,0.00296924283972087,1.7
"Invader",244,0.398731885245902,0.0871960001867225,0.00558215190326808,0.0109955798904401,1.8
"Mutant",1620,0.328631445061728,0.0482672806352783,0.00119921022877268,0.00235216731643895,1.8
"Invader",81,0.385553913580247,0.107537630994015,0.0119486256660017,0.023778522872172,1.9
"Mutant",637,0.325604469387755,0.0466996112438644,0.00185030596575811,0.00363344759849918,1.9
"Invader",96,0.3660174375,0.0644538243921569,0.00657829090548902,0.0130595586214732,2
"Mutant",742,0.317684827493261,0.0323353952370076,0.00118706970364507,0.00233042031490975,2
"Invader",170,0.403292717647059,0.122720736157666,0.00941225080385057,0.0185807285229128,2.1
"Mutant",1488,0.332187847446237,0.0617498219241808,0.00160078956233953,0.00314004573794386,2.1
"Invader",108,0.38036762962963,0.0697907089004941,0.00671561409510585,0.0133129217026553,2.2
"Mutant",879,0.316148348122867,0.0262390968351819,0.000885022770656363,0.00173700724581119,2.2
"Invader",117,0.392099017094017,0.088339680924902,0.00816700639058621,0.0161757852194446,2.3
"Mutant",1315,0.331166970342205,0.0453767755214032,0.00125132682637387,0.00245481668180417,2.3
"Invader",91,0.369176604395604,0.0661544600794029,0.00693487173827635,0.0137773331254797,2.4
"Mutant",1025,0.324166012682927,0.0489900591490416,0.00153019236649023,0.00300267100273892,2.4
"Invader",146,0.404614342465753,0.124993414599575,0.0103445285959125,0.0204455424643209,2.5
"Mutant",1648,0.341723223907767,0.0656171903443197,0.00161636346992844,0.00317034401338368,2.5
"Invader",134,0.416800895522388,0.138570904945727,0.011970702948685,0.0236775867373571,2.6
"Mutant",1743,0.337378502581756,0.0659063172913318,0.00157862272828174,0.00309619494427119,2.6
"Invader",123,0.406243504065041,0.118652280999564,0.0106985158861335,0.021178780748177,2.7
"Mutant",1389,0.337324080633549,0.0663560575313329,0.00178044864778576,0.00349266085279175,2.7
"Invader",118,0.408371762711864,0.0972822822626701,0.00895555998222343,0.0177360172616596,2.8
"Mutant",1723,0.328642226349391,0.0486267834817909,0.00117147467516754,0.00229766314124741,2.8
"Invader",63,0.377803476190476,0.084594919908074,0.0106579581074377,0.0213049546865028,2.9
"Mutant",1122,0.326131905525847,0.0449558561627072,0.00134211535327599,0.00263334097015185,2.9
"Invader",127,0.439866393700787,0.166167976668245,0.0147450235753072,0.0291799681811915,3
"Mutant",2486,0.341309516492357,0.0674602258367641,0.00135299823043626,0.00265312004267739,3
"Invader",108,0.419888814814815,0.110475354488196,0.0106304959420965,0.0210737183723323,3.1
"Mutant",1413,0.333210705590941,0.0517939052693114,0.00137786788302653,0.0027028883046396,3.1
"Invader",139,0.45820726618705,0.140414517687194,0.011909803946863,0.023549297528987,3.2
"Mutant",3772,0.350116157211029,0.0673645627413027,0.00109684599324949,0.00215046886805843,3.2
"Invader",70,0.3981035,0.10201852175978,0.0121935455889293,0.0243254578665355,3.3
"Mutant",1586,0.330267916771753,0.0505051344330113,0.00126818887751969,0.00248750405084182,3.3
"Invader",99,0.421804080808081,0.11950453469209,0.0120106576460507,0.0238347592058311,3.4
"Mutant",2548,0.338355178963893,0.0554174297473765,0.0010978592555417,0.00215278762293044,3.4
"Invader",101,0.437229861386139,0.155727939517611,0.0154955091374794,0.0307426487937807,3.5
"Mutant",2359,0.337540254345061,0.0565318624186067,0.00116393659492137,0.00228244537845102,3.5
"Invader",94,0.442604436170213,0.122498916380334,0.0126347984998356,0.0250902057848674,3.6
"Mutant",2245,0.346157470824053,0.0652072858767922,0.00137622027349041,0.00269879783013414,3.6
"Invader",108,0.435179277777778,0.132573231018233,0.0127568651026192,0.0252889972350069,3.7
"Mutant",3086,0.342313675631886,0.0620325242748615,0.00111666137250273,0.00218947508294913,3.7
"Invader",82,0.429993268292683,0.111714601199272,0.0123368138952785,0.0245463898824686,3.8
"Mutant",2632,0.338626172492401,0.0561953439290645,0.00109536129542604,0.00214785678091484,3.8
"Invader",85,0.453290705882353,0.156478699760719,0.0169724979889804,0.0337516735736123,3.9
"Mutant",1632,0.33433056495098,0.0607950093190828,0.00150490072756335,0.0029517416852082,3.9
"Invader",69,0.450673768115942,0.142556505586087,0.0171617865379073,0.0342458118442249,4
"Mutant",2057,0.334774471560525,0.0567242670869861,0.00125069596115182,0.00245276296348071,4
"Invader",74,0.463642824324324,0.172014590131932,0.0199962899323229,0.0398525483635798,4.1
"Mutant",2367,0.341955897760879,0.077490593563802,0.00159275823270904,0.0031233465555057,4.1
"Invader",111,0.479559117117117,0.175697577135969,0.0166764760172947,0.0330488611993877,4.2
"Mutant",4252,0.337177812558796,0.0564426719436852,0.000865587421482763,0.00169700334800056,4.2
"Invader",23,0.396311826086957,0.114285462942045,0.023830166340602,0.0494207401774475,4.3
"Mutant",943,0.350864125132556,0.0705845480990069,0.00229854913673338,0.00451086935878763,4.3
"Invader",104,0.504239394230769,0.194489542092444,0.0190712686599826,0.0378233633286853,4.4
"Mutant",5215,0.356847137104506,0.0899331047106195,0.00124535288217022,0.0024414135383854,4.4
"Invader",62,0.4537715,0.142588778568525,0.0181087929870048,0.0362107695526057,4.5
"Mutant",3180,0.337247262578616,0.0552680337847203,0.000980077579785933,0.0019216483973985,4.5
"Invader",102,0.485302617647059,0.164702919809405,0.0163080191370367,0.032350723158933,4.6
"Mutant",4208,0.352430894249049,0.0831598004716115,0.00128196324295682,0.00251332487216986,4.6
"Invader",66,0.435029893939394,0.140954874905643,0.0173503457129409,0.034651033147021,4.7
"Mutant",3222,0.338536008379888,0.0603478802554842,0.00106316152610056,0.00208454161024784,4.7
"Invader",57,0.441839789473684,0.119939744534605,0.01588640725342,0.0318242978862511,4.8
"Mutant",2337,0.332386980744544,0.0492723497814929,0.00101923403598334,0.00199869758948479,4.8
"Invader",72,0.470658236111111,0.167836183880986,0.0197796839584529,0.0394395696470397,4.9
"Mutant",3360,0.350426939285714,0.0772664911695603,0.00133297361118359,0.00261352200748181,4.9
"Invader",43,0.425165302325581,0.146937001520337,0.0224076826608111,0.045220534380345,5
"Mutant",1852,0.331358091792657,0.0496198674956242,0.00115301540301568,0.00226134733684531,5
"Invader",1218,0.32915563136289,0.0466591686637684,0.00133694441843772,0.00262297153540696,0.1
"Mutant",591,0.32851251607445,0.0505639417875785,0.00207992263990333,0.00408495330562118,0.1
"Invader",726,0.333676112947658,0.055352195453761,0.0020543126515836,0.00403311176794648,0.2
"Mutant",369,0.321611097560976,0.045218500318877,0.00235398110058672,0.00462894203826865,0.2
"Invader",309,0.328389006472492,0.0477474066947241,0.00271625506406275,0.0053447642370759,0.3
"Mutant",270,0.326942107407407,0.0537412315559663,0.00327058719903458,0.00643920394568406,0.3
"Invader",206,0.333945233009709,0.0602257499378356,0.00419612682921614,0.00827309833984024,0.4
"Mutant",208,0.319738307692308,0.0376313430474789,0.00260926417158194,0.00514413924411746,0.4
"Invader",363,0.33709441322314,0.059954621192876,0.00314680151680628,0.00618830731806473,0.5
"Mutant",420,0.313305921428571,0.0415789819949174,0.00202884657809828,0.00398798572397856,0.5
"Invader",688,0.379392181686046,0.0939645349070455,0.00358236430882314,0.00703369669456795,0.6
"Mutant",1384,0.322202393786127,0.0370848245679453,0.000996846260067449,0.0019554941383924,0.6
"Invader",157,0.383389388535032,0.113458031773283,0.00905493670957679,0.0178861033654724,0.7
"Mutant",488,0.335487379098361,0.0652465252881905,0.00295357142182419,0.00580331624570471,0.7
"Invader",372,0.355145524193548,0.0627854060716471,0.00325527166151662,0.00640109719316691,0.8
"Mutant",869,0.321262823935558,0.0379552259826507,0.00128754285544062,0.00252706134869688,0.8
"Invader",162,0.354657179012346,0.0792190438554878,0.00622403590103666,0.0122912764607208,0.9
"Mutant",414,0.315465891304348,0.0265031108142647,0.00130255683421506,0.00256046796835714,0.9
"Invader",464,0.391426965517241,0.106577092434376,0.0049477173053821,0.0097227635953232,1
"Mutant",1387,0.334130551550108,0.0709575159982875,0.00190528598671328,0.00373755579419139,1
"Invader",365,0.372654279452055,0.0818833049811833,0.00428596806879017,0.00842836721706792,1.1
"Mutant",1371,0.329899547045952,0.055226450053795,0.00149151766156204,0.0029259058327783,1.1
"Invader",221,0.370236524886878,0.0888671684136476,0.00597785264713492,0.0117811854274264,1.2
"Mutant",718,0.324000704735376,0.0409638805991297,0.0015287584461988,0.00300137796047097,1.2
"Invader",130,0.368239461538462,0.0736192945712276,0.00645683926794216,0.0127750146291685,1.3
"Mutant",696,0.331212048850575,0.0497998310534007,0.00188765772460715,0.00370619541748303,1.3
"Invader",293,0.418081686006826,0.138597429403694,0.00809694828058095,0.0159357772424611,1.4
"Mutant",1892,0.336255820824524,0.0661291708482563,0.00152031125754189,0.00298166375055652,1.4
"Invader",260,0.382934269230769,0.0924775142215612,0.00573521196597055,0.0112935818618038,1.5
"Mutant",1317,0.326543049354594,0.0487875100021935,0.00134436056903285,0.00263732388508659,1.5
"Invader",110,0.367064009090909,0.0839838287598574,0.00800754388241321,0.0158706916475812,1.6
"Mutant",540,0.312870505555556,0.0211267288500051,0.000909149655510107,0.00178591081954566,1.6
"Invader",221,0.403755194570136,0.11173290612944,0.00751596861474178,0.0148125129781225,1.7
"Mutant",1384,0.332434968930636,0.0522543632760061,0.00140460598670101,0.00275538855265289,1.7
"Invader",125,0.367205736,0.0592452781322703,0.00529905876998553,0.0104883216601528,1.8
"Mutant",715,0.314553485314685,0.0234818951598408,0.000878173087975491,0.00172411023057137,1.8
"Invader",125,0.400022904,0.124108306053652,0.0111005843563325,0.0219711658991837,1.9
"Mutant",789,0.343522842839037,0.0858891584257253,0.00305773500985094,0.00600226970898223,1.9
"Invader",82,0.351455536585366,0.0542595668351731,0.0059919667697683,0.0119221343324162,2
"Mutant",583,0.318441375643225,0.0369556835085681,0.00153054802659852,0.00300607039918792,2
"Invader",101,0.38455001980198,0.0765503868077726,0.00761704817986939,0.0151120066440825,2.1
"Mutant",844,0.322438895734597,0.0368231400807035,0.0012675047535377,0.002487835569221,2.1
"Invader",127,0.413496401574803,0.113691081239336,0.0100884521000281,0.019964750125546,2.2
"Mutant",1310,0.335879982442748,0.0589697860279117,0.0016292731635171,0.00319627210219166,2.2
"Invader",125,0.385272776,0.0832327381817012,0.00744456242110904,0.0147348743769247,2.3
"Mutant",1128,0.328611574468085,0.0468015313933135,0.00139349531854284,0.00273413696490018,2.3
"Invader",119,0.403894462184874,0.0994965851014189,0.00912083700219102,0.0180617404055808,2.4
"Mutant",1354,0.326432234859675,0.0449128205702969,0.00122056524050808,0.00239440586320141,2.4
"Invader",75,0.40017092,0.104870539418043,0.0121094068326137,0.024128519814824,2.5
"Mutant",940,0.331668424468085,0.0516578127531391,0.00168489207257054,0.00330658985719969,2.5
"Invader",188,0.430139079787234,0.12229272851348,0.00891911390243653,0.0175950127858454,2.6
"Mutant",2250,0.332649092444444,0.049356685857179,0.00104053030044071,0.00204050005796794,2.6
"Invader",159,0.409891874213836,0.100284562711187,0.00795308314811573,0.0157080714794634,2.7
"Mutant",2298,0.335090889469104,0.0551987615130584,0.00115147449132271,0.00225803835590987,2.7
"Invader",95,0.408254873684211,0.102470646092434,0.0105132664615017,0.0208743370099015,2.8
"Mutant",1038,0.32966300867052,0.0584841651007868,0.00181526325939292,0.00356200802831559,2.8
"Invader",184,0.451900152173913,0.165525308601516,0.0122026876466752,0.0240760481235764,2.9
"Mutant",3939,0.347273743082,0.075016389740681,0.00119526215519057,0.00234339102585234,2.9
"Invader",103,0.416836689320388,0.141166947678566,0.0139095926656778,0.0275896111009129,3
"Mutant",1679,0.342211688505063,0.0700472439379424,0.00170948661323301,0.00335295069394505,3
"Invader",155,0.442661896774194,0.115474675473978,0.00927514913394421,0.0183229463524493,3.1
"Mutant",3928,0.348824228869654,0.0686809321928611,0.00109584830838484,0.00214848541130745,3.1
"Invader",232,0.46867175862069,0.169159273534119,0.0111058503964536,0.021881708876123,3.2
"Mutant",6460,0.35157390123839,0.0744757832755752,0.000926613920833996,0.0018164703032613,3.2
"Invader",101,0.46609499009901,0.138806222081829,0.0138117353203966,0.0274020894970527,3.3
"Mutant",3888,0.348659988168724,0.0700021619105299,0.00112266019508056,0.00220105892867336,3.3
"Invader",68,0.468442661764706,0.141496426152812,0.0171589620786898,0.0342494316554681,3.4
"Mutant",2583,0.347999367402245,0.0696408191767345,0.0013702558596936,0.00268691166867372,3.4
"Invader",88,0.428624738636364,0.150096211847371,0.0160003099440615,0.0318023485528086,3.5
"Mutant",1572,0.330961182569975,0.0490458845553535,0.00123701880196829,0.00242638166215494,3.5
"Invader",115,0.441894956521739,0.147480816607448,0.0137526570609654,0.0272439077144757,3.6
"Mutant",3565,0.353002642356241,0.0821553902638258,0.00137596154311633,0.00269775124256743,3.6
"Invader",134,0.437900485074627,0.13409207041644,0.0115837905753595,0.0229122890502921,3.7
"Mutant",3130,0.340863585942492,0.0630045619234943,0.00112615929947161,0.00220808579739647,3.7
"Invader",86,0.426084348837209,0.108452756240707,0.011694761466992,0.0232523189104214,3.8
"Mutant",1979,0.338813768569985,0.0603064008247448,0.00135562794491343,0.00265860876973333,3.8
"Invader",119,0.462516268907563,0.176852481686497,0.0162120404157721,0.0321042537394451,3.9
"Mutant",3237,0.342732757491505,0.063921686891381,0.00112350983310556,0.00220286274311721,3.9
"Invader",94,0.418325723404255,0.131892861047922,0.0136037099114686,0.0270142718240286,4
"Mutant",2909,0.34075684255758,0.0613979621036848,0.00113836647127534,0.00223208631491777,4
"Invader",75,0.419086906666667,0.126021807217573,0.0145517448641657,0.028994984572626,4.1
"Mutant",3186,0.351410738857502,0.0713135150188718,0.00126342351992223,0.00247720597875288,4.1
"Invader",70,0.420927514285714,0.100891391263977,0.0120588277274256,0.0240567030863957,4.2
"Mutant",2109,0.32679220625889,0.0394030531509831,0.000858008488834959,0.00168263185522466,4.2
"Invader",58,0.474713362068966,0.187281653034093,0.024591285799979,0.0492432004140113,4.3
"Mutant",2430,0.344393248148148,0.0671229371541489,0.00136165728908626,0.00267012975361414,4.3
"Invader",38,0.393697,0.0910785412187774,0.0147748903910268,0.0299367715523797,4.4
"Mutant",1245,0.331402887550201,0.047593759544138,0.00134885521818864,0.00264628233696387,4.4
"Invader",47,0.430399595744681,0.174831557989728,0.0255018037197353,0.0513324684719624,4.5
"Mutant",1223,0.339145998364677,0.0660057974392217,0.00188742130831562,0.00370294541311419,4.5
"Invader",70,0.484826185714286,0.159068682771001,0.0190123440497037,0.0379285885923978,4.6
"Mutant",4561,0.347860118395089,0.067227198071122,0.000995439740197009,0.00195154403722523,4.6
"Invader",43,0.426860372093023,0.161546611298857,0.0246356272651527,0.0497167086212598,4.7
"Mutant",1594,0.336576596612296,0.0689748386713763,0.00172761328421996,0.00338863447418751,4.7
"Invader",65,0.460867292307692,0.135928430109116,0.016859846751712,0.0336814158231468,4.8
"Mutant",3307,0.348188131236771,0.0739469791399043,0.00128588858061854,0.00252121834746665,4.8
"Invader",30,0.410875733333333,0.13539634460403,0.0247198773811234,0.0505578259697594,4.9
"Mutant",1644,0.334232063868613,0.0547243907053963,0.0013496775631156,0.00264726957947179,4.9
"Invader",64,0.454722390625,0.13999424187508,0.017499280234385,0.0349695211573033,5
"Mutant",3753,0.347561823074873,0.0681121925192623,0.00111182280601723,0.00217983585043907,5
"Invader",1338,0.336390674887892,0.0517546159132283,0.00141488464416619,0.00277563564422964,0.1
"Mutant",680,0.334408563235294,0.0546448101376768,0.0020955328098905,0.00411450299579611,0.1
"Invader",530,0.344232977358491,0.0702323722401815,0.00305069930445384,0.00599297227895447,0.2
"Mutant",452,0.334994305309735,0.0593119509975058,0.00278979950239495,0.00548261975418487,0.2
"Invader",552,0.336441954710145,0.0525851192983899,0.00223817131117411,0.00439639220888209,0.3
"Mutant",381,0.317995086614173,0.0402743876446682,0.00206331938318865,0.00405695303586503,0.3
"Invader",383,0.33813108616188,0.0428537163881722,0.00218972261693274,0.00430541839116541,0.4
"Mutant",413,0.313387162227603,0.0229480740879268,0.00112920090490754,0.00221971379350345,0.4
"Invader",369,0.343780777777778,0.06900442979018,0.00359222712910353,0.00706386774506045,0.5
"Mutant",408,0.316524840686275,0.0322476622926858,0.00159649717929222,0.00313840970139325,0.5
"Invader",452,0.356219765486726,0.0745324260223006,0.00350571042652174,0.0068895550452281,0.6
"Mutant",736,0.322061399456522,0.041924054850571,0.00154534116427835,0.003033808821758,0.6
"Invader",344,0.347620197674419,0.0571115412544298,0.00307924793769387,0.00605658595241226,0.7
"Mutant",588,0.312564011904762,0.0255991230133176,0.00105569004019695,0.0020733895292957,0.7
"Invader",290,0.351475496551724,0.0609082415224583,0.00357665509570726,0.00703959557695111,0.8
"Mutant",481,0.315142584199584,0.0326149418764123,0.00148711334435682,0.00292205650681222,0.8
"Invader",98,0.332972714285714,0.0441938880863131,0.00446425685040448,0.00886031407931954,0.9
"Mutant",237,0.312705341772152,0.0246214055586505,0.00159933215450603,0.00315079126469273,0.9
"Invader",210,0.36181540952381,0.0784474255448589,0.00541338665875807,0.0106718392764911,1
"Mutant",588,0.324690736394558,0.0451736257311011,0.0018629289268659,0.00365881762990323,1
"Invader",131,0.370659824427481,0.100652462581704,0.00879404648705578,0.0173979692545813,1.1
"Mutant",550,0.328798223636364,0.050112463154478,0.00213680260857577,0.00419730948665492,1.1
"Invader",298,0.362343530201342,0.062031925185257,0.00359341294378032,0.00707177747323331,1.2
"Mutant",930,0.315324506451613,0.0252807931296087,0.00082898986417534,0.00162690987895599,1.2
"Invader",304,0.376677141447368,0.0774367225614936,0.00444130063374404,0.00873969841244313,1.3
"Mutant",1075,0.321856035348837,0.038393925096714,0.0011710037373412,0.00229771455365045,1.3
"Invader",102,0.351519009803922,0.0625760193658335,0.00619594918243408,0.0122910964859319,1.4
"Mutant",480,0.312701316666667,0.0243528432682542,0.00111155013311756,0.00218411693478653,1.4
"Invader",301,0.388007880398671,0.0911997076062874,0.00525666375616921,0.0103446044349524,1.5
"Mutant",1498,0.325796617489987,0.0403131746333037,0.00104157630907213,0.00204310393437889,1.5
"Invader",120,0.364264916666667,0.0861106232630405,0.0078607884669994,0.0155651462723595,1.6
"Mutant",522,0.328404501915709,0.0479909969556731,0.00210050887321041,0.00412650787505874,1.6
"Invader",201,0.410992497512438,0.123421213177441,0.00870546116186572,0.0171662659900747,1.7
"Mutant",1510,0.339070576821192,0.0661282060005508,0.00170175982711223,0.00333806538753706,1.7
"Invader",88,0.392668568181818,0.11450951127005,0.0122067549161527,0.0242622471626732,1.8
"Mutant",795,0.341454244025157,0.082544887382629,0.00292756546269738,0.00574668281645309,1.8
"Invader",177,0.391194581920904,0.116145756901792,0.0087300496844614,0.0172290532586674,1.9
"Mutant",1216,0.331902736019737,0.0619690424633336,0.00177708416924771,0.0034864941025319,1.9
"Invader",235,0.403097740425532,0.106794770945551,0.00696652271430949,0.0137251201020174,2
"Mutant",2003,0.337746224163754,0.0715307190604489,0.00159827724423152,0.00313446084172717,2
"Invader",127,0.413048645669291,0.127718224428369,0.0113331597817582,0.0224279900357618,2.1
"Mutant",1236,0.342903976537217,0.0726168362776621,0.00206551374126472,0.00405230394557839,2.1
"Invader",226,0.441037752212389,0.163164472352479,0.0108535392535205,0.0213875871080923,2.2
"Mutant",2691,0.345902724637681,0.0749501569920137,0.00144482649805651,0.00283308263498369,2.2
"Invader",93,0.385724838709677,0.0903422104825639,0.00936805082655874,0.018605757563131,2.3
"Mutant",1024,0.33107528125,0.0546439985370069,0.00170762495428147,0.00335084789153734,2.3
"Invader",285,0.437686743859649,0.146657377400505,0.00868723329182805,0.0170995344001045,2.4
"Mutant",4094,0.349172178309722,0.0799034496317613,0.00124879631963636,0.00244831981367289,2.4
"Invader",148,0.408740628378378,0.107771232194898,0.00885874071674584,0.0175069384793003,2.5
"Mutant",2067,0.343099727140784,0.0654113690684691,0.00143874226159961,0.00282153599413362,2.5
"Invader",76,0.394071184210526,0.0961874164827133,0.0110334533707475,0.0219797662259494,2.6
"Mutant",840,0.330032420238095,0.0420831233492755,0.00145200570264456,0.00284999025482492,2.6
"Invader",84,0.412339595238095,0.143377102591792,0.0156437244178652,0.0311147386792779,2.7
"Mutant",1382,0.343505926193922,0.0814098410220781,0.00218989294837775,0.00429587633321782,2.7
"Invader",88,0.421658602272727,0.122496259171458,0.0130581451031186,0.0259544773491504,2.8
"Mutant",1143,0.346237162729659,0.0651071587302384,0.00192577537029551,0.00377845494332451,2.8
"Invader",161,0.425254024844721,0.138090369880558,0.0108830457504274,0.0214929440300792,2.9
"Mutant",2895,0.341858746804836,0.0834836702882132,0.00155159099412632,0.00304233486128316,2.9
"Invader",69,0.430145695652174,0.184033422154007,0.0221550205223036,0.0442096551274474,3
"Mutant",1005,0.339271087562189,0.0662499382470004,0.00208978903877841,0.00410085490332716,3
"Invader",169,0.459283130177515,0.159584411779008,0.0122757239830006,0.0242345524978027,3.1
"Mutant",4225,0.349054565680473,0.0735857002084193,0.00113208769551414,0.00221948708964414,3.1
"Invader",130,0.422097876923077,0.147311840997728,0.0129201031485939,0.0255627405119311,3.2
"Mutant",2322,0.345617961670973,0.0810661916062244,0.00168232021365283,0.00329900739391979,3.2
"Invader",62,0.416417129032258,0.123778231804461,0.0157198511590255,0.0314337851301975,3.3
"Mutant",1538,0.341418585825748,0.0631024487892031,0.00160904446343216,0.00315615458915133,3.3
"Invader",162,0.448211117283951,0.141353291519234,0.0111057634418099,0.0219317515099674,3.4
"Mutant",4023,0.345579592344022,0.0712862715336022,0.00112390831492766,0.00220348292317586,3.4
"Invader",115,0.428016304347826,0.117954733193384,0.0109993355857534,0.0217895990782292,3.5
"Mutant",2977,0.342214232112865,0.0648042265822085,0.00118771957578439,0.0023288347427341,3.5
"Invader",69,0.409490028985507,0.114023243197317,0.0137267854039151,0.0273913738019173,3.6
"Mutant",1426,0.336760415147265,0.0538700086920372,0.0014265509353557,0.00279836529267882,3.6
"Invader",165,0.448058563636364,0.163173464447004,0.012703036978717,0.0250825857328855,3.7
"Mutant",4023,0.350763560775541,0.0764685186569251,0.00120561227428212,0.00236366794610187,3.7
"Invader",139,0.456094244604317,0.174368436948346,0.0147897377905187,0.0292438009188527,3.8
"Mutant",3512,0.346137360193622,0.0679071192784919,0.00114587713574495,0.00224665241200375,3.8
"Invader",116,0.436243146551724,0.128525261429011,0.0119332709426771,0.023637513073291,3.9
"Mutant",3454,0.344477034742328,0.0632598294431491,0.0010763830495516,0.00211041175949232,3.9
"Invader",68,0.476197985294118,0.20497294849645,0.0248566210895632,0.0496140233476096,4
"Mutant",2519,0.348666657403732,0.0810181613821394,0.00161424072363196,0.00316537521641025,4
"Invader",124,0.45639675,0.143505808504048,0.012887202039483,0.0255094262595658,4.1
"Mutant",4183,0.340944350466173,0.059438835150963,0.000919022951453572,0.00180177335690636,4.1
"Invader",89,0.434534337078652,0.119350930461291,0.0126511733265755,0.025141548530126,4.2
"Mutant",2632,0.343566973404255,0.0629304434305866,0.00122664205285184,0.00240528076167632,4.2
"Invader",104,0.460245663461538,0.150626258464459,0.0147701198301875,0.0292930490732183,4.3
"Mutant",3039,0.347288992431721,0.0726501192442134,0.00131786517395199,0.00258399775681479,4.3
"Invader",54,0.395870296296296,0.102999550771438,0.0140164635069952,0.0281134655476746,4.4
"Mutant",1625,0.336760492923077,0.0586374818232147,0.00145461689898439,0.00285312313438599,4.4
"Invader",102,0.445898029411765,0.142927161672204,0.0141518977954363,0.0280735584074661,4.5
"Mutant",3359,0.345926512354868,0.0726672717536054,0.00125381613187938,0.00245832053857765,4.5
"Invader",104,0.477240230769231,0.176032835722513,0.0172614396996571,0.034233994443499,4.6
"Mutant",4050,0.347661080246914,0.0707982463145999,0.00111248711255931,0.00218108666124677,4.6
"Invader",59,0.517846084745763,0.207213107523456,0.026976848809431,0.0540000299289807,4.7
"Mutant",4267,0.350096413873916,0.0737488365619311,0.00112899976618698,0.00221342687859264,4.7
"Invader",71,0.484738070422535,0.175690787343993,0.0208506603933487,0.0415853308934323,4.8
"Mutant",3100,0.34056618483871,0.0626092126067936,0.00112449465399017,0.00220483014904991,4.8
"Invader",87,0.490200068965517,0.183124171390254,0.0196329719579276,0.0390290565252958,4.9
"Mutant",5209,0.354734635054713,0.0787676301326341,0.00109136645383405,0.00213953618016535,4.9
"Invader",73,0.478561301369863,0.189163927353858,0.0221399630656211,0.044135209738555,5
"Mutant",4836,0.345877002067825,0.0708052469466698,0.00101817468686126,0.00199608540205132,5
"Invader",1299,0.340917166281755,0.063205439485204,0.00175367810558613,0.00344035395219297,0.1
"Mutant",1179,0.350109180661578,0.0643701444381388,0.00187468187744863,0.0036780880362023,0.1
