"z","N","turnover","sd","se","ci","replicate","fit","se.fit"
2.1,2500,0.0959721045294575,0.155743212320712,0.00311486424641424,0.00610798005190846,1,0.0929847365822687,0.00165527330952995
2.2,2500,0.0589589695821894,0.102091370595933,0.00204182741191867,0.0040038473958523,1,0.0976205089389447,0.00178967599133098
2.3,2500,0.0788558415115045,0.157275874410878,0.00314551748821756,0.00616808841447241,1,0.102159066685349,0.00188512254979835
2.4,2500,0.0722038543333994,0.120902339099556,0.00241804678199113,0.00474158112219029,1,0.106276152965257,0.00191732727544606
2.5,2500,0.0916359294300471,0.174468333176693,0.00348936666353385,0.00684234698163624,1,0.109815958944561,0.00192788434996846
2.6,2500,0.114151782498547,0.170567246810654,0.00341134493621308,0.00668935310569469,1,0.112845938149459,0.00198107743361355
2.7,2500,0.0932865291244703,0.162275187805961,0.00324550375611922,0.00636415285949957,1,0.11562712494755,0.00208602809057065
2.8,2500,0.112656410969491,0.174805448893941,0.00349610897787881,0.00685556807837268,1,0.11851590870458,0.00218695236025739
2.9,2500,0.0691732053567348,0.138849509738448,0.00277699019476896,0.00544543818675893,1,0.121839894297886,0.00223368978487956
3,2500,0.144944344250521,0.21116244578338,0.0042232489156676,0.00828142676228567,1,0.125789311812434,0.00223924590336593
3.1,2500,0.0918153675736029,0.153748371040704,0.00307496742081408,0.00602974581901025,1,0.130349596744688,0.0022749860868104
3.2,2500,0.191523231067178,0.276642893253783,0.00553285786507567,0.0108494569253959,1,0.135288768958153,0.00239651463959034
3.3,2500,0.0957346557690675,0.157379412719051,0.00314758825438101,0.00617214900826333,1,0.140208067478757,0.00256583920758123
3.4,2500,0.144617497483597,0.213640392408674,0.00427280784817348,0.00837860755322649,1,0.144654156866122,0.00268323067534357
3.5,2500,0.147720861206217,0.213788649603708,0.00427577299207416,0.00838442194459756,1,0.148267302734457,0.00269280849235758
3.6,2500,0.124964652537005,0.219751829700922,0.00439503659401844,0.00861828757852784,1,0.150912753539289,0.00264556781385238
3.7,2500,0.17679511554493,0.234959941772329,0.00469919883544658,0.00921472349233228,1,0.152737650845758,0.00265729096070095
3.8,2500,0.153347880238097,0.212306214112231,0.00424612428224463,0.00832628338256807,1,0.154126687813647,0.00277270740254215
3.9,2500,0.112828087957794,0.176833053665076,0.00353666107330151,0.00693508723885939,1,0.155577913693638,0.00290340318288644
4,2500,0.129157511767558,0.183085383521718,0.00366170767043436,0.0071802928274258,1,0.157550768694006,0.00293633744287041
4.1,2500,0.139692373991677,0.210116052364745,0.0042023210472949,0.00824038901796132,1,0.160335936462118,0.00285925926579991
4.2,2500,0.245359301627165,0.244272592676663,0.00488545185353326,0.00957994959179738,1,0.163975544661009,0.00279960760559432
4.3,2500,0.0442011105660466,0.141630785394767,0.00283261570789534,0.00555451501890154,1,0.168245498801348,0.00292406987597004
4.4,2500,0.269110581508275,0.28143500023583,0.0056287000047166,0.0110373950924389,1,0.172705859344458,0.00321527352525145
4.5,2500,0.185920589051471,0.222771813783645,0.0044554362756729,0.00873672614326201,1,0.176818140615781,0.00344810215278666
4.6,2500,0.226933480729797,0.265021913233905,0.0053004382646781,0.0103937021410469,1,0.180107071362413,0.00342601124133236
4.7,2500,0.199607248807264,0.227317963090953,0.00454635926181906,0.00891501827470239,1,0.182314082911983,0.00321712924407922
4.8,2500,0.145305211570335,0.19504893550689,0.00390097871013781,0.00764948269314481,1,0.183476022007906,0.00330662257876611
4.9,2500,0.169482377474607,0.236805410102263,0.00473610820204527,0.00928709957587199,1,0.183886262979877,0.00421301638810187
5,2500,0.105149776367423,0.172324852722547,0.00344649705445093,0.00675828337680563,1,0.183945490658424,0.00579075697327836
0.1,2500,0.0699830757783513,0.145433714075003,0.00290867428150007,0.00570365931977727,2,0.0720305609044311,0.00226758194155117
0.2,2500,0.0527962902936641,0.111310424159291,0.00222620848318581,0.00436540276910675,2,0.0628149893673991,0.00143915361231836
0.3,2500,0.0267602098256211,0.0815664953430109,0.00163132990686022,0.00319889720415725,2,0.0553239495343682,0.000997053558688479
0.4,2500,0.0219224961931773,0.077157422692686,0.00154314845385372,0.0030259809826776,2,0.0498158064330037,0.000879053801731955
0.5,2500,0.0436621265799904,0.099545536233757,0.00199091072467514,0.00390400416501142,2,0.0463828489318215,0.00088229829424884
0.6,2500,0.110690359116288,0.181769574818285,0.0036353914963657,0.00712868908050844,2,0.0449733043698424,0.000877017183165332
0.7,2500,0.03118060933047,0.116968788287218,0.00233937576574436,0.00458731404668233,2,0.0454536521072642,0.000846212889367039
0.8,2500,0.0674604037431437,0.130308099442353,0.00260616198884707,0.00511045881317133,2,0.0476303969896491,0.000827805855194662
0.9,2500,0.0302250931026318,0.0863303454491891,0.00172660690898378,0.00338572718528605,2,0.0512209879374938,0.000874512523755042
1,2500,0.102394288171409,0.162248929033033,0.00324497858066066,0.00636312303573491,2,0.0558084318944093,0.000995227766929132
1.1,2500,0.0988035968795566,0.155966534277287,0.00311933068554573,0.00611673835370271,2,0.0608368522336577,0.00113384103804148
1.2,2500,0.052523950426938,0.121154588619667,0.00242309177239333,0.00475147391311182,2,0.0656945049721939,0.00122599429640346
1.3,2500,0.0477647372235608,0.129653522428136,0.00259307044856271,0.00508478743214802,2,0.0698751242581997,0.00125703910875344
1.4,2500,0.113809773040857,0.202334110757423,0.00404668221514845,0.00793519469588223,2,0.0731385613256988,0.00127244616381925
1.5,2500,0.0950128035380512,0.156023691256446,0.00312047382512891,0.00611897995180081,2,0.0755744920429599,0.00132485452029905
1.6,2500,0.0415154996139052,0.0954201791369453,0.00190840358273891,0.00374221477798866,2,0.0775347147309141,0.00140817384837798
1.7,2500,0.0902627262606674,0.176698055719204,0.00353396111438408,0.00692979285236161,2,0.0794823945464521,0.00147434131045557
1.8,2500,0.0545649670264376,0.108294846835157,0.00216589693670314,0.00424713702984058,2,0.0818370586929422,0.00149763660253812
1.9,2500,0.047222564788153,0.128995047812422,0.00257990095624844,0.00505896319391936,2,0.0848657214289132,0.00150331727733144
2,2500,0.0390856479983725,0.0967710377617571,0.00193542075523514,0.00379519312234377,2,0.0886302653145231,0.00154686033172631
2.1,2500,0.05863757174542,0.122378647549432,0.00244757295098865,0.00479947939222043,2,0.0929847365822687,0.00165527330952995
2.2,2500,0.0729614051325352,0.167997880924196,0.00335995761848393,0.0065885870090752,2,0.0976205089389447,0.00178967599133098
2.3,2500,0.0700386419961188,0.134956221206133,0.00269912442412266,0.00529275012840083,2,0.102159066685349,0.00188512254979835
2.4,2500,0.0951419141642671,0.164447897662037,0.00328895795324074,0.00644936279103848,2,0.106276152965257,0.00191732727544606
2.5,2500,0.05505094411952,0.13860744039481,0.00277214880789619,0.0054359446447927,2,0.109815958944561,0.00192788434996846
2.6,2500,0.140707144163027,0.197105368786542,0.00394210737573084,0.00773013245799188,2,0.112845938149459,0.00198107743361355
2.7,2500,0.141271106246694,0.206316614145845,0.0041263322829169,0.0080913816069564,2,0.11562712494755,0.00208602809057065
2.8,2500,0.0664702557366954,0.123396838108504,0.00246793676217008,0.00483941106905681,2,0.11851590870458,0.00218695236025739
2.9,2500,0.210265748003287,0.26461664856613,0.0052923329713226,0.010377808360062,2,0.121839894297886,0.00223368978487956
3,2500,0.104140368193898,0.195108848905665,0.0039021769781133,0.00765183239326404,2,0.125789311812434,0.00223924590336593
3.1,2500,0.211341337688799,0.266174837968165,0.0053234967593633,0.01043891785975,2,0.130349596744688,0.0022749860868104
3.2,2500,0.321475305752637,0.300073623565374,0.00600147247130748,0.0117683697384316,2,0.135288768958153,0.00239651463959034
3.3,2500,0.194541861999967,0.26888476218701,0.00537769524374021,0.010545196411632,2,0.140208067478757,0.00256583920758123
3.4,2500,0.129275795395433,0.242065738321785,0.0048413147664357,0.00949340057193187,2,0.144654156866122,0.00268323067534357
3.5,2500,0.111631659377774,0.169041435702489,0.00338082871404978,0.0066295134268234,2,0.148267302734457,0.00269280849235758
3.6,2500,0.175054073513346,0.240724018348993,0.00481448036697986,0.0094407806297402,2,0.150912753539289,0.00264556781385238
3.7,2500,0.178693703797063,0.238845163172423,0.00477690326344845,0.00936709517168452,2,0.152737650845758,0.00265729096070095
3.8,2500,0.11825672585928,0.188827195223048,0.00377654390446095,0.00740547677484123,2,0.154126687813647,0.00277270740254215
3.9,2500,0.193754593706947,0.230698383545283,0.00461396767090565,0.00904759253199709,2,0.155577913693638,0.00290340318288644
4,2500,0.185966974159312,0.227735104189726,0.00455470208379453,0.00893137782881826,2,0.157550768694006,0.00293633744287041
4.1,2500,0.151315929876797,0.244940529645588,0.00489881059291176,0.00960614492719166,2,0.160335936462118,0.00285925926579991
4.2,2500,0.133936791600213,0.170617596125921,0.00341235192251841,0.00669132771896156,2,0.163975544661009,0.00279960760559432
4.3,2500,0.123994390446155,0.219116423497077,0.00438232846994155,0.00859336804360807,2,0.168245498801348,0.00292406987597004
4.4,2500,0.0771883189686131,0.139184384316272,0.00278368768632544,0.00545857138987425,2,0.172705859344458,0.00321527352525145
4.5,2500,0.0729354668860551,0.153908642993126,0.00307817285986251,0.00603603140843456,2,0.176818140615781,0.00344810215278666
4.6,2500,0.230168746265774,0.292375303536802,0.00584750607073603,0.0114664549103818,2,0.180107071362413,0.00342601124133236
4.7,2500,0.0957732506245045,0.161934123804654,0.00323868247609308,0.00635077691787511,2,0.182314082911983,0.00321712924407922
4.8,2500,0.179778132785687,0.245354044891839,0.00490708089783679,0.00962236228162803,2,0.183476022007906,0.00330662257876611
4.9,2500,0.0957604630904012,0.168294077571062,0.00336588155142124,0.0066002033304772,2,0.183886262979877,0.00421301638810187
5,2500,0.210101373524996,0.237462882919154,0.00474925765838308,0.00931288452527942,2,0.183945490658424,0.00579075697327836
0.1,2500,0.0790311970663657,0.170734675847844,0.00341469351695688,0.00669591938363404,3,0.0720305609044311,0.00226758194155117
0.2,2500,0.0415774939458123,0.127762227478167,0.00255524454956333,0.0050106141076445,3,0.0628149893673991,0.00143915361231836
0.3,2500,0.046313476027943,0.100463918198432,0.00200927836396863,0.00394002152099554,3,0.0553239495343682,0.000997053558688479
0.4,2500,0.0421759077111399,0.102053873291502,0.00204107746583003,0.00400237681627418,3,0.0498158064330037,0.000879053801731955
0.5,2500,0.043239052603743,0.0963985358953045,0.00192797071790609,0.00378058424189442,3,0.0463828489318215,0.00088229829424884
0.6,2500,0.0621372994652406,0.129323291781727,0.00258646583563453,0.00507183635600969,3,0.0449733043698424,0.000877017183165332
0.7,2500,0.0533088968496244,0.106393353479345,0.00212786706958691,0.00417256374145728,3,0.0454536521072642,0.000846212889367039
0.8,2500,0.0420243313549196,0.0924923415427634,0.00184984683085527,0.00362739003953607,3,0.0476303969896491,0.000827805855194662
0.9,2500,0.0197601258132992,0.0737825427225264,0.00147565085445053,0.00289362401361194,3,0.0512209879374938,0.000874512523755042
1,2500,0.0430872781191976,0.111580645913229,0.00223161291826459,0.00437600040002789,3,0.0558084318944093,0.000995227766929132
1.1,2500,0.0371540305772659,0.112643361164729,0.00225286722329459,0.00441767825847385,3,0.0608368522336577,0.00113384103804148
1.2,2500,0.0755389547380724,0.116766652529592,0.00233533305059184,0.004579386631054,3,0.0656945049721939,0.00122599429640346
1.3,2500,0.0803191727227021,0.133485468706861,0.00266970937413722,0.00523506975316655,3,0.0698751242581997,0.00125703910875344
1.4,2500,0.0324809292513472,0.090386113113938,0.00180772226227876,0.00354478739486006,3,0.0731385613256988,0.00127244616381925
1.5,2500,0.111722847085835,0.162174077259479,0.00324348154518957,0.00636018747833304,3,0.0755744920429599,0.00132485452029905
1.6,2500,0.0354248729925046,0.0945688930699161,0.00189137786139832,0.00370882880733605,3,0.0775347147309141,0.00140817384837798
1.7,2500,0.0939131883476001,0.181983932836261,0.00363967865672523,0.00713709583209816,3,0.0794823945464521,0.00147434131045557
1.8,2500,0.0477096176441378,0.13489854264463,0.0026979708528926,0.00529048807474318,3,0.0818370586929422,0.00149763660253812
1.9,2500,0.075059615183578,0.148392175675181,0.00296784351350363,0.00581968507890321,3,0.0848657214289132,0.00150331727733144
2,2500,0.130453985898862,0.1832185262679,0.00366437052535799,0.00718551445619289,3,0.0886302653145231,0.00154686033172631
2.1,2500,0.06871540147503,0.159965715052385,0.00319931430104769,0.00627357932310543,3,0.0929847365822687,0.00165527330952995
2.2,2500,0.141525994691583,0.220414512656816,0.00440829025313632,0.00864427686059686,3,0.0976205089389447,0.00178967599133098
2.3,2500,0.0666143178441785,0.137517410602146,0.00275034821204292,0.00539319555717361,3,0.102159066685349,0.00188512254979835
2.4,2500,0.230539624608278,0.266483952768595,0.00532967905537189,0.0104510408088445,3,0.106276152965257,0.00191732727544606
2.5,2500,0.121010205758257,0.20685121196759,0.0041370242393518,0.00811234761107534,3,0.109815958944561,0.00192788434996846
2.6,2500,0.0498764898809481,0.125711951785515,0.0025142390357103,0.00493020583273463,3,0.112845938149459,0.00198107743361355
2.7,2500,0.0796154117703687,0.157551967049461,0.00315103934098923,0.00617891629135911,3,0.11562712494755,0.00208602809057065
2.8,2500,0.0685826437941144,0.170428403512622,0.00340856807025245,0.00668390791112034,3,0.11851590870458,0.00218695236025739
2.9,2500,0.168685935265285,0.208628825509172,0.00417257651018345,0.00818206254689951,3,0.121839894297886,0.00223368978487956
