"z","N","combm","sd","se","ci","replicate","fit","se.fit"
3.5,500,2.52732140762,0.167495509785022,0.00749062691610581,0.0147170548589966,1,0.199375398524721,0.00232007937784937
3.6,500,2.5251539909,0.193038406519819,0.00863293998493107,0.0169613909190269,1,0.201923607504999,0.00226466571858202
3.7,500,2.50183092054,0.238124461216733,0.0106492496477225,0.0209228937748458,1,0.203357040371996,0.002262052711702
3.8,500,2.49078699404,0.197717400294321,0.00884219094785278,0.0173725124359716,1,0.204131868989229,0.00235069004299516
3.9,500,2.57669988022,0.14321724924875,0.00640487009741471,0.0125838365258489,1,0.204866131263373,0.00245121989416005
4,500,2.54202834788,0.170826721779778,0.00763960324546055,0.0150097530318413,1,0.206147329798444,0.0024643785094585
4.1,500,2.55385136582,0.186414448320942,0.00833670756867494,0.0163793743842452,1,0.208366655142399,0.00238016303065341
4.2,500,2.41210533574,0.224347518100305,0.0100331260211129,0.0197123775771639,1,0.21161883166053,0.00230891095247236
4.3,500,2.58752273434,0.164536462496715,0.0073582942984,0.0144570570756036,1,0.215681427163262,0.0023939976965107
4.4,500,2.40605566084,0.2683205195455,0.011999658429236,0.0235760815977331,1,0.22007588535752,0.00262160002479704
4.5,500,2.4680003491,0.251127714146472,0.0112307727973129,0.0220654293983857,1,0.224203341810857,0.0028032876105691
4.6,500,2.46921960332,0.283398285560863,0.0126739566244197,0.0249008950801006,1,0.227526863104024,0.00277617933811467
4.7,500,2.49845499936,0.217426810660345,0.00972362257535016,0.0191042870606619,1,0.229742164307203,0.00259420142557853
4.8,500,2.50983415764,0.186773575545152,0.00835276822639304,0.0164109292305025,1,0.230866082163795,0.00265249899083299
4.9,500,2.46708730096,0.265982741909393,0.0118951098350237,0.0233706719018978,1,0.231197289456303,0.00337940166158057
5,500,2.57541999632,0.172993638546409,0.00773651070929595,0.0152001499742448,1,0.231156493279298,0.00465567468111729
0.1,500,2.68441147526,0.0933202703315538,0.00417340936280022,0.0081996200357168,2,0.118414628969875,0.00238496432502669
0.2,500,2.67183985208,0.0522129424235923,0.0023350337712887,0.00458770947939973,2,0.102921802257168,0.00150440392436505
0.3,500,2.67593585818,0.0627169142834799,0.00280478567353777,0.00551064484822086,2,0.0903165954233702,0.0010376781031272
0.4,500,2.67993077976,0.0630442565239742,0.00281942486357082,0.00553940689513904,2,0.0809662197883378,0.000914253956961087
0.5,500,2.64984701656,0.0521242323333371,0.00233106653544668,0.00457991493453994,2,0.0749675077373231,0.000914719445302768
0.6,500,2.6156596089,0.114744369940002,0.00513152422442454,0.0100820564642922,2,0.0721823632550307,0.000902519663533186
0.7,500,2.62468751818,0.0862668821188716,0.00385797225249516,0.00757987147409222,2,0.0723380159230808,0.000861708878415525
0.8,500,2.6168571494,0.101482819715617,0.00453844966864952,0.00891682545351406,2,0.075067028041255,0.000833220989763763
0.9,500,2.6659924578,0.0698502013970182,0.00312379597131567,0.00613741375629283,2,0.0798741776686695,0.00087148370582829
1,500,2.62344664296,0.108696769225734,0.00486106729846698,0.0095506817928672,2,0.0860848191844542,0.000983343059296485
1.1,500,2.61989055028,0.118688507210755,0.00530791140542443,0.0104286095429962,2,0.0928570559070781,0.00111005528547459
1.2,500,2.63005521708,0.0959483334692866,0.00429093991930286,0.00843053577441667,2,0.09931566952408,0.00118831035388044
1.3,500,2.62470524172,0.104272792205557,0.00466322103150672,0.00916196741727318,2,0.104782103787817,0.001206623195476
1.4,500,2.54999307604,0.176443387938176,0.00789078819220255,0.015503263479279,2,0.10898340863329,0.00121228266588899
1.5,500,2.58730871776,0.107579210633662,0.00481108855885274,0.00945248709422257,2,0.112113643772505,0.00125740585152179
1.6,500,2.61938739044,0.0762995880027499,0.00341222130858752,0.00670409149353638,2,0.114715317993894,0.00133491215852504
1.7,500,2.59013038106,0.159294141641581,0.00712385058256111,0.0139964386165626,2,0.117457719326861,0.00139690384891931
1.8,500,2.6432790447,0.0758244074845048,0.00339097058977993,0.00666233958171548,2,0.120919806523047,0.00141783085604142
1.9,500,2.6530831987,0.166641744794766,0.00745244538500537,0.0146420384826506,2,0.12544045398069,0.0014218514130741
2,500,2.66659001958,0.0869963869977749,0.00389059670247807,0.00764396968983845,2,0.131045847305804,0.00146272593462878
2.1,500,2.61797750064,0.114063728736819,0.00510108502445248,0.0100222516734689,2,0.137447028095306,0.00156623581482357
2.2,500,2.58965531334,0.141564379290434,0.00633095150571949,0.0124386064962048,2,0.144110357287337,0.00169315079420776
2.3,500,2.60941069256,0.132284844446868,0.00591595809152367,0.011623256738268,2,0.150404552405445,0.00177901318393114
2.4,500,2.60979195756,0.125254449856031,0.0056015492872485,0.0110055285197233,2,0.155798656109048,0.00180005604392963
2.5,500,2.6663744245,0.157512701478278,0.00704418215650121,0.013839911718349,2,0.160042633618121,0.00179732349424414
2.6,500,2.56088842122,0.179108089101867,0.00800995725103728,0.0157373984316679,2,0.163250008779573,0.00183334321350268
2.7,500,2.56654224478,0.186969428764366,0.00836152704862854,0.016428137945979,2,0.165844295767711,0.00191612068039217
2.8,500,2.60885509306,0.139950067410607,0.00625875728371592,0.0122967643863749,2,0.168399651234605,0.00199186257945622
2.9,500,2.49225573356,0.259697650293339,0.0116140319930575,0.0228184300046314,2,0.171448045819762,0.0020143409565413
3,500,2.60243721362,0.13782279177655,0.00616362262522329,0.0121098505267329,2,0.175318872397801,0.00199779290079451
3.1,500,2.5154576813,0.245161576181912,0.010963958996275,0.0215412124815653,2,0.180046025385781,0.00200966300094966
3.2,500,2.39995203806,0.30204582512627,0.0135078999460471,0.0265393680345197,2,0.185354519552034,0.00210096964082596
3.3,500,2.4729033685,0.241755217307572,0.0108116219962993,0.0212419115003782,2,0.190730777376015,0.00223639111851492
3.4,500,2.48440383578,0.2280268762122,0.0101976719181482,0.0200356657372355,2,0.19557097714356,0.00232589098676818
3.5,500,2.57083645048,0.118809605180651,0.00531332707127692,0.0104392498608683,2,0.199375398524721,0.00232007937784937
3.6,500,2.52677475062,0.276982955220734,0.0123870543296468,0.0243372097092184,2,0.201923607504999,0.00226466571858202
3.7,500,2.51187963182,0.244535837430013,0.0109359751085669,0.0214862317149112,2,0.203357040371996,0.002262052711702
3.8,500,2.5535363443,0.203637996486834,0.00910696805892848,0.0178927278081629,2,0.204131868989229,0.00235069004299516
3.9,500,2.5012841362,0.218391014838317,0.00976674309707283,0.0191890072170451,2,0.204866131263373,0.00245121989416005
4,500,2.51823743268,0.197557518821753,0.00883504083103267,0.0173584643913062,2,0.206147329798444,0.0024643785094585
4.1,500,2.50252615196,0.23704193095578,0.0106008374226987,0.0208277768534583,2,0.208366655142399,0.00238016303065341
4.2,500,2.55533674586,0.17178808069604,0.00768259652321128,0.015094223188253,2,0.21161883166053,0.00230891095247236
4.3,500,2.49875740806,0.20812381943381,0.0093075801598178,0.0182868762989679,2,0.215681427163262,0.0023939976965107
4.4,500,2.6016675735,0.134326719723117,0.00600727352990901,0.0118026668639146,2,0.22007588535752,0.00262160002479704
