"speciesType","median","n","z"
"Invader",0.3232505,362,0.5
"Mutant",0.308134,608,0.5
"Invader",0.321577,349,0.6
"Mutant",0.303918,407,0.6
"Invader",0.32785,193,0.7
"Mutant",0.304848,323,0.7
"Invader",0.326574,277,0.8
"Mutant",0.304433,655,0.8
"Invader",0.3268665,216,0.9
"Mutant",0.3057475,508,0.9
"Invader",0.321049,161,1
"Mutant",0.304891,310,1
"Invader",0.354895,387,1.1
"Mutant",0.31353,1811,1.1
"Invader",0.325011,180,1.2
"Mutant",0.303704,453,1.2
"Invader",0.357475,430,1.3
"Mutant",0.311439,2025,1.3
"Invader",0.360304,348,1.4
"Mutant",0.3123605,1930,1.4
"Invader",0.338518,141,1.5
"Mutant",0.3073285,632,1.5
"Invader",0.36703,255,1.6
"Mutant",0.308587,1466,1.6
"Invader",0.351813,139,1.7
"Mutant",0.307193,810,1.7
"Invader",0.351874,98,1.8
"Mutant",0.313342,874,1.8
"Invader",0.329598,118,1.9
"Mutant",0.3068015,624,1.9
"Invader",0.3413915,78,2
"Mutant",0.306713,553,2
"Invader",0.3444155,152,2.1
"Mutant",0.3072215,930,2.1
"Invader",0.3790495,170,2.2
"Mutant",0.312554,1736,2.2
"Invader",0.368685,187,2.3
"Mutant",0.3115735,2096,2.3
"Invader",0.380113,181,2.4
"Mutant",0.312343,2206,2.4
"Invader",0.351653,101,2.5
"Mutant",0.309475,1101,2.5
"Invader",0.373525,135,2.6
"Mutant",0.314502,2095,2.6
"Invader",0.3274055,32,2.7
"Mutant",0.3077485,422,2.7
"Invader",0.3983,151,2.8
"Mutant",0.31464,2472,2.8
"Invader",0.3819895,158,2.9
"Mutant",0.31654,2789,2.9
"Invader",0.35172,69,3
"Mutant",0.312407,1175,3
"Invader",0.353759,65,3.1
"Mutant",0.309046,829,3.1
"Invader",0.360909,82,3.2
"Mutant",0.309749,1379,3.2
"Invader",0.3643795,56,3.3
"Mutant",0.314296,1565,3.3
"Invader",0.382504,129,3.4
"Mutant",0.311198,2348,3.4
"Invader",0.379207,91,3.5
"Mutant",0.3133885,2332,3.5
"Invader",0.41944,127,3.6
"Mutant",0.315437,3991,3.6
"Invader",0.423541,127,3.7
"Mutant",0.318919,4521,3.7
"Invader",0.3941155,76,3.8
"Mutant",0.3177665,2184,3.8
"Invader",0.417439,160,3.9
"Mutant",0.318705,4665,3.9
"Invader",0.399396,117,4
"Mutant",0.3170955,3732,4
"Invader",0.398438,120,4.1
"Mutant",0.315354,4085,4.1
"Invader",0.3841095,88,4.2
"Mutant",0.31529,2579,4.2
"Invader",0.405589,83,4.3
"Mutant",0.313134,2545,4.3
"Invader",0.402048,38,4.4
"Mutant",0.311258,1349,4.4
"Invader",0.375735,64,4.5
"Mutant",0.313323,2070,4.5
"Invader",0.369292,95,4.6
"Mutant",0.317712,3760,4.6
"Invader",0.3738645,54,4.7
"Mutant",0.30906,1694,4.7
"Invader",0.38579,55,4.8
"Mutant",0.317497,2268,4.8
"Invader",0.372295,59,4.9
"Mutant",0.312687,2115,4.9
"Invader",0.392887,76,5
"Mutant",0.316776,4035,5
"Invader",0.310797,1376,0.1
"Mutant",0.308091,545,0.1
"Invader",0.323133,1202,0.2
"Mutant",0.310014,898,0.2
"Invader",0.311441,441,0.3
"Mutant",0.303328,300,0.3
"Invader",0.318672,459,0.4
"Mutant",0.3031945,380,0.4
"Invader",0.325498,354,0.5
"Mutant",0.30683,467,0.5
"Invader",0.33287,623,0.6
"Mutant",0.307343,979,0.6
"Invader",0.330073,363,0.7
"Mutant",0.305549,545,0.7
"Invader",0.3229945,302,0.8
"Mutant",0.303508,473,0.8
"Invader",0.325214,285,0.9
"Mutant",0.304544,531,0.9
"Invader",0.331303,228,1
"Mutant",0.3049985,626,1
"Invader",0.3418535,246,1.1
"Mutant",0.3068985,882,1.1
"Invader",0.345071,222,1.2
"Mutant",0.309229,1007,1.2
"Invader",0.337569,165,1.3
"Mutant",0.304403,494,1.3
"Invader",0.332927,181,1.4
"Mutant",0.305907,740,1.4
"Invader",0.348611,223,1.5
"Mutant",0.3050655,842,1.5
"Invader",0.372575,405,1.6
"Mutant",0.313777,2571,1.6
"Invader",0.351104,146,1.7
"Mutant",0.314512,1191,1.7
"Invader",0.380099,272,1.8
"Mutant",0.315936,2244,1.8
"Invader",0.340193,62,1.9
"Mutant",0.306589,494,1.9
"Invader",0.356781,138,2
"Mutant",0.310063,1176,2
"Invader",0.3675695,138,2.1
"Mutant",0.307888,1193,2.1
"Invader",0.386763,159,2.2
"Mutant",0.318201,1847,2.2
"Invader",0.3754995,108,2.3
"Mutant",0.312837,1263,2.3
"Invader",0.397274,157,2.4
"Mutant",0.3128725,1728,2.4
"Invader",0.355127,72,2.5
"Mutant",0.310327,797,2.5
"Invader",0.3714585,84,2.6
"Mutant",0.314603,1664,2.6
"Invader",0.372233,139,2.7
"Mutant",0.310539,1627,2.7
"Invader",0.353877,85,2.8
"Mutant",0.310929,1268,2.8
"Invader",0.3711665,160,2.9
"Mutant",0.311784,2531,2.9
"Invader",0.369558,69,3
"Mutant",0.316525,1614,3
"Invader",0.380105,81,3.1
"Mutant",0.314426,1558,3.1
"Invader",0.3856625,164,3.2
"Mutant",0.318267,3609,3.2
"Invader",0.439766,81,3.3
"Mutant",0.318403,1768,3.3
"Invader",0.371777,64,3.4
"Mutant",0.312742,1283,3.4
"Invader",0.40483,120,3.5
"Mutant",0.313685,2699,3.5
"Invader",0.395258,126,3.6
"Mutant",0.317488,2713,3.6
"Invader",0.3884215,112,3.7
"Mutant",0.318165,3642,3.7
"Invader",0.399568,125,3.8
"Mutant",0.3197815,4034,3.8
"Invader",0.394474,123,3.9
"Mutant",0.3169585,3688,3.9
"Invader",0.433742,89,4
"Mutant",0.31811,3376,4
"Invader",0.426544,135,4.1
"Mutant",0.319151,4606,4.1
"Invader",0.3910055,54,4.2
"Mutant",0.31124,2553,4.2
"Invader",0.327902,24,4.3
"Mutant",0.308548,805,4.3
"Invader",0.4213335,110,4.4
"Mutant",0.3183575,4430,4.4
"Invader",0.413876,52,4.5
"Mutant",0.312885,1395,4.5
"Invader",0.396761,68,4.6
"Mutant",0.313572,2692,4.6
"Invader",0.404018,63,4.7
"Mutant",0.322362,3613,4.7
"Invader",0.392677,69,4.8
"Mutant",0.317758,4068,4.8
"Invader",0.393094,72,4.9
"Mutant",0.31994,3511,4.9
"Invader",0.365267,73,5
"Mutant",0.317175,4067,5
"Invader",0.318721,1077,0.1
"Mutant",0.3136225,620,0.1
"Invader",0.311251,519,0.2
"Mutant",0.303068,228,0.2
"Invader",0.316618,397,0.3
"Mutant",0.303975,367,0.3
"Invader",0.323573,546,0.4
"Mutant",0.303277,451,0.4
"Invader",0.3180435,328,0.5
"Mutant",0.304658,303,0.5
"Invader",0.321394,286,0.6
"Mutant",0.3050495,454,0.6
"Invader",0.337091,394,0.7
"Mutant",0.308589,968,0.7
"Invader",0.330917,237,0.8
"Mutant",0.3032635,462,0.8
"Invader",0.3452985,384,0.9
"Mutant",0.311852,1013,0.9
"Invader",0.331918,240,1
"Mutant",0.3047,584,1
"Invader",0.33368,171,1.1
"Mutant",0.3055,406,1.1
"Invader",0.325621,126,1.2
"Mutant",0.3037235,432,1.2
"Invader",0.345167,135,1.3
"Mutant",0.304944,490,1.3
"Invader",0.333056,118,1.4
"Mutant",0.3034475,410,1.4
"Invader",0.329013,151,1.5
"Mutant",0.304363,557,1.5
"Invader",0.353212,271,1.6
"Mutant",0.3113265,1902,1.6
"Invader",0.351619,228,1.7
"Mutant",0.30704,1419,1.7
"Invader",0.346,103,1.8
"Mutant",0.306554,505,1.8
"Invader",0.36273,263,1.9
"Mutant",0.310051,2069,1.9
"Invader",0.3525965,154,2
"Mutant",0.310344,1379,2
"Invader",0.374155,223,2.1
"Mutant",0.3087025,1722,2.1
"Invader",0.360377,221,2.2
"Mutant",0.3087505,1972,2.2
"Invader",0.351585,68,2.3
"Mutant",0.309118,705,2.3
"Invader",0.372732,113,2.4
"Mutant",0.311423,1330,2.4
"Invader",0.3743685,172,2.5
"Mutant",0.314526,2412,2.5
"Invader",0.350915,68,2.6
"Mutant",0.3054335,824,2.6
"Invader",0.352671,103,2.7
"Mutant",0.310131,1409,2.7
"Invader",0.372206,159,2.8
"Mutant",0.311576,2045,2.8
"Invader",0.333549,45,2.9
"Mutant",0.310657,666,2.9
"Invader",0.356911,52,3
"Mutant",0.307075,745,3
"Invader",0.3897065,172,3.1
"Mutant",0.316744,3038,3.1
"Invader",0.4081795,184,3.2
"Mutant",0.3180415,3872,3.2
"Invader",0.3836635,126,3.3
"Mutant",0.314915,2544,3.3
"Invader",0.386018,108,3.4
"Mutant",0.319636,2733,3.4
"Invader",0.414543,91,3.5
"Mutant",0.318425,2267,3.5
"Invader",0.3571775,66,3.6
"Mutant",0.30897,1402,3.6
"Invader",0.355348,62,3.7
"Mutant",0.313942,1620,3.7
"Invader",0.382491,85,3.8
"Mutant",0.3157335,2518,3.8
"Invader",0.375113,52,3.9
"Mutant",0.320828,1593,3.9
"Invader",0.4173875,122,4
"Mutant",0.31858,3621,4
"Invader",0.446249,129,4.1
"Mutant",0.3182255,4784,4.1
"Invader",0.370631,44,4.2
"Mutant",0.314417,1420,4.2
"Invader",0.3768815,52,4.3
"Mutant",0.318301,2046,4.3
"Invader",0.4006185,80,4.4
"Mutant",0.320201,4167,4.4
"Invader",0.385388,87,4.5
"Mutant",0.318096,4103,4.5
"Invader",0.383264,37,4.6
"Mutant",0.3121915,1164,4.6
"Invader",0.3844465,62,4.7
"Mutant",0.314501,2777,4.7
"Invader",0.404985,51,4.8
"Mutant",0.3140695,2662,4.8
"Invader",0.395529,71,4.9
"Mutant",0.31871,3049,4.9
"Invader",0.367018,64,5
"Mutant",0.3180275,3484,5
"Invader",0.31459,1441,0.1
"Mutant",0.319014,1109,0.1
"Invader",0.31492,737,0.2
"Mutant",0.311296,586,0.2
"Invader",0.3299915,1178,0.3
"Mutant",0.30604,997,0.3
"Invader",0.323415,338,0.4
"Mutant",0.3044315,406,0.4
"Invader",0.316034,301,0.5
"Mutant",0.303605,359,0.5
"Invader",0.331653,372,0.6
"Mutant",0.3094415,754,0.6
"Invader",0.346737,601,0.7
"Mutant",0.309751,1513,0.7
"Invader",0.328368,259,0.8
"Mutant",0.3055255,534,0.8
"Invader",0.342089,379,0.9
"Mutant",0.3066415,996,0.9
"Invader",0.3222525,118,1
"Mutant",0.30504,319,1
"Invader",0.3616255,308,1.1
"Mutant",0.30708,1137,1.1
"Invader",0.357503,435,1.2
"Mutant",0.308979,1657,1.2
"Invader",0.320806,85,1.3
"Mutant",0.3038325,382,1.3
"Invader",0.3563955,350,1.4
"Mutant",0.30925,1573,1.4
"Invader",0.3410835,124,1.5
"Mutant",0.314645,882,1.5
"Invader",0.3623255,200,1.6
"Mutant",0.315074,1543,1.6
"Invader",0.361046,245,1.7
"Mutant",0.3107395,1558,1.7
"Invader",0.360828,114,1.8
"Mutant",0.3096015,990,1.8
"Invader",0.337552,69,1.9
"Mutant",0.305367,645,1.9
"Invader",0.3646055,186,2
"Mutant",0.3076615,1260,2
"Invader",0.402788,297,2.1
"Mutant",0.315196,3457,2.1
"Invader",0.3642995,136,2.2
"Mutant",0.3089455,1244,2.2
"Invader",0.381518,156,2.3
"Mutant",0.311105,1853,2.3
"Invader",0.343427,81,2.4
"Mutant",0.304873,709,2.4
"Invader",0.40796,148,2.5
"Mutant",0.3144365,1894,2.5
"Invader",0.3496905,70,2.6
"Mutant",0.3076015,1060,2.6
"Invader",0.363325,89,2.7
"Mutant",0.309402,1099,2.7
"Invader",0.379901,89,2.8
"Mutant",0.310006,1229,2.8
"Invader",0.392694,132,2.9
"Mutant",0.310269,2089,2.9
"Invader",0.3921425,108,3
"Mutant",0.310383,1891,3
"Invader",0.375975,121,3.1
"Mutant",0.3093905,1702,3.1
"Invader",0.416731,64,3.2
"Mutant",0.3167045,2092,3.2
"Invader",0.37549,47,3.3
"Mutant",0.310623,923,3.3
"Invader",0.396853,35,3.4
"Mutant",0.313705,739,3.4
"Invader",0.375511,103,3.5
"Mutant",0.3106855,1744,3.5
"Invader",0.403043,175,3.6
"Mutant",0.3183735,4734,3.6
"Invader",0.385954,109,3.7
"Mutant",0.313906,2158,3.7
"Invader",0.409069,80,3.8
"Mutant",0.3119665,1960,3.8
"Invader",0.431881,98,3.9
"Mutant",0.31897,3310,3.9
"Invader",0.4125685,62,4
"Mutant",0.312353,1974,4
"Invader",0.414729,117,4.1
"Mutant",0.319209,3561,4.1
"Invader",0.423314,70,4.2
"Mutant",0.3144505,1948,4.2
"Invader",0.433389,93,4.3
"Mutant",0.318083,3680,4.3
"Invader",0.400124,62,4.4
"Mutant",0.313918,2285,4.4
"Invader",0.402355,66,4.5
"Mutant",0.321597,3330,4.5
"Invader",0.405294,36,4.6
"Mutant",0.318266,2171,4.6
"Invader",0.455228,99,4.7
"Mutant",0.319014,4765,4.7
"Invader",0.407637,71,4.8
"Mutant",0.3160245,3266,4.8
"Invader",0.419581,69,4.9
"Mutant",0.31729,4156,4.9
"Invader",0.4805795,92,5
"Mutant",0.3234635,6448,5
"Invader",0.309146,1053,0.1
"Mutant",0.31005,451,0.1
"Invader",0.3259665,1300,0.2
"Mutant",0.312453,1203,0.2
"Invader",0.310046,211,0.3
"Mutant",0.314742,249,0.3
"Invader",0.31636,367,0.4
"Mutant",0.307197,492,0.4
"Invader",0.315428,257,0.5
"Mutant",0.30307,203,0.5
"Invader",0.325156,450,0.6
"Mutant",0.3052125,656,0.6
"Invader",0.316823,189,0.7
"Mutant",0.304387,343,0.7
"Invader",0.343829,441,0.8
"Mutant",0.306745,1076,0.8
"Invader",0.336391,338,0.9
"Mutant",0.3074185,1114,0.9
"Invader",0.3363675,174,1
"Mutant",0.303476,472,1
"Invader",0.343227,163,1.1
"Mutant",0.306123,701,1.1
"Invader",0.3491485,268,1.2
"Mutant",0.309422,1125,1.2
"Invader",0.333712,141,1.3
"Mutant",0.303547,465,1.3
"Invader",0.326879,151,1.4
"Mutant",0.3035055,648,1.4
"Invader",0.336211,86,1.5
"Mutant",0.30417,436,1.5
"Invader",0.3494415,184,1.6
"Mutant",0.311106,1195,1.6
"Invader",0.364897,288,1.7
"Mutant",0.3121185,2268,1.7
"Invader",0.365233,139,1.8
"Mutant",0.31292,1191,1.8
"Invader",0.3711595,218,1.9
"Mutant",0.3116295,1628,1.9
"Invader",0.3519425,112,2
"Mutant",0.307689,673,2
"Invader",0.361788,129,2.1
"Mutant",0.306292,865,2.1
"Invader",0.369385,132,2.2
"Mutant",0.313207,1367,2.2
"Invader",0.349331,139,2.3
"Mutant",0.3101585,1268,2.3
"Invader",0.374704,149,2.4
"Mutant",0.309687,1372,2.4
"Invader",0.391619,163,2.5
"Mutant",0.3134895,2130,2.5
"Invader",0.398293,222,2.6
"Mutant",0.315077,3241,2.6
"Invader",0.394635,219,2.7
"Mutant",0.3133355,2770,2.7
"Invader",0.385355,144,2.8
"Mutant",0.313669,2185,2.8
"Invader",0.348914,88,2.9
"Mutant",0.308671,999,2.9
"Invader",0.371291,109,3
"Mutant",0.3116545,1472,3
"Invader",0.338773,31,3.1
"Mutant",0.310084,586,3.1
"Invader",0.386636,111,3.2
"Mutant",0.3170485,2164,3.2
"Invader",0.3414455,36,3.3
"Mutant",0.3071135,604,3.3
"Invader",0.386628,97,3.4
"Mutant",0.3107145,1564,3.4
"Invader",0.377837,54,3.5
"Mutant",0.312613,1430,3.5
"Invader",0.378715,89,3.6
"Mutant",0.31439,2119,3.6
"Invader",0.3838695,64,3.7
"Mutant",0.319452,2111,3.7
"Invader",0.3602135,40,3.8
"Mutant",0.311252,1184,3.8
"Invader",0.371546,105,3.9
"Mutant",0.314319,2874,3.9
"Invader",0.376236,91,4
"Mutant",0.31426,2627,4
"Invader",0.420423,43,4.1
"Mutant",0.322704,1823,4.1
"Invader",0.3750455,68,4.2
"Mutant",0.311748,1843,4.2
"Invader",0.403454,115,4.3
"Mutant",0.319094,5123,4.3
"Invader",0.389813,74,4.4
"Mutant",0.317241,3287,4.4
"Invader",0.410757,102,4.5
"Mutant",0.316243,4103,4.5
"Invader",0.3629285,66,4.6
"Mutant",0.315103,2338,4.6
"Invader",0.402229,71,4.7
"Mutant",0.316761,3571,4.7
"Invader",0.409915,63,4.8
"Mutant",0.32098,4321,4.8
"Invader",0.413745,75,4.9
"Mutant",0.319772,3939,4.9
"Invader",0.356411,20,5
"Mutant",0.311018,687,5
"Invader",0.32245,1765,0.1
"Mutant",0.3246545,1744,0.1
"Invader",0.3126745,546,0.2
"Mutant",0.3057215,304,0.2
"Invader",0.322992,627,0.3
"Mutant",0.3089405,788,0.3
"Invader",0.316797,402,0.4
"Mutant",0.303861,313,0.4
"Invader",0.317604,248,0.5
"Mutant",0.303983,277,0.5
"Invader",0.327029,459,0.6
"Mutant",0.3036735,604,0.6
"Invader",0.3221365,234,0.7
"Mutant",0.305977,414,0.7
"Invader",0.323538,202,0.8
"Mutant",0.303383,389,0.8
"Invader",0.3383885,292,0.9
"Mutant",0.305619,819,0.9
"Invader",0.3398045,226,1
"Mutant",0.309945,739,1
"Invader",0.323988,147,1.1
"Mutant",0.304017,443,1.1
"Invader",0.332264,218,1.2
"Mutant",0.3061425,692,1.2
"Invader",0.344256,199,1.3
"Mutant",0.309556,884,1.3
"Invader",0.341705,157,1.4
"Mutant",0.307648,837,1.4
"Invader",0.3526735,174,1.5
"Mutant",0.308914,935,1.5
"Invader",0.329999,90,1.6
"Mutant",0.305378,562,1.6
"Invader",0.363327,197,1.7
"Mutant",0.3138485,1682,1.7
"Invader",0.346205,119,1.8
"Mutant",0.308545,846,1.8
"Invader",0.353309,134,1.9
"Mutant",0.311236,1101,1.9
"Invader",0.373079,191,2
"Mutant",0.313048,1792,2
"Invader",0.376849,217,2.1
"Mutant",0.314164,2360,2.1
"Invader",0.38176,251,2.2
"Mutant",0.3134465,3168,2.2
"Invader",0.373099,141,2.3
"Mutant",0.31026,1233,2.3
"Invader",0.380359,215,2.4
"Mutant",0.312448,2553,2.4
"Invader",0.349818,75,2.5
"Mutant",0.307594,782,2.5
"Invader",0.369071,107,2.6
"Mutant",0.307443,958,2.6
"Invader",0.388855,119,2.7
"Mutant",0.3154,2121,2.7
"Invader",0.4066285,206,2.8
"Mutant",0.31683,4383,2.8
"Invader",0.375539,119,2.9
"Mutant",0.315687,2293,2.9
"Invader",0.363364,88,3
"Mutant",0.307654,886,3
"Invader",0.371647,49,3.1
"Mutant",0.306238,980,3.1
"Invader",0.406731,119,3.2
"Mutant",0.3127865,2720,3.2
"Invader",0.3865235,82,3.3
"Mutant",0.312603,2185,3.3
"Invader",0.371428,49,3.4
"Mutant",0.310266,1041,3.4
"Invader",0.3764255,68,3.5
"Mutant",0.312579,1999,3.5
"Invader",0.387825,71,3.6
"Mutant",0.317848,2377,3.6
"Invader",0.402943,126,3.7
"Mutant",0.315392,3589,3.7
"Invader",0.388001,105,3.8
"Mutant",0.3148925,3564,3.8
"Invader",0.395642,94,3.9
"Mutant",0.317757,3508,3.9
"Invader",0.4110195,118,4
"Mutant",0.3162705,4098,4
"Invader",0.41155,87,4.1
"Mutant",0.320329,3931,4.1
"Invader",0.4115945,68,4.2
"Mutant",0.3235,4026,4.2
"Invader",0.4042895,88,4.3
"Mutant",0.31676,2921,4.3
"Invader",0.386052,28,4.4
"Mutant",0.309824,961,4.4
"Invader",0.379547,51,4.5
"Mutant",0.317037,2398,4.5
"Invader",0.422786,79,4.6
"Mutant",0.321644,4193,4.6
"Invader",0.421745,74,4.7
"Mutant",0.317575,2979,4.7
"Invader",0.403596,82,4.8
"Mutant",0.3202785,4086,4.8
"Invader",0.400056,51,4.9
"Mutant",0.31174,2229,4.9
"Invader",0.3482385,14,5
"Mutant",0.31262,1012,5
"Invader",0.3058275,1046,0.1
"Mutant",0.30958,458,0.1
"Invader",0.309935,604,0.2
"Mutant",0.306454,388,0.2
"Invader",0.3141965,390,0.3
"Mutant",0.3027195,272,0.3
"Invader",0.333179,1053,0.4
"Mutant",0.308387,1466,0.4
"Invader",0.3165495,260,0.5
"Mutant",0.303922,322,0.5
"Invader",0.3238605,286,0.6
"Mutant",0.3041815,460,0.6
"Invader",0.3469475,590,0.7
"Mutant",0.3100765,1454,0.7
"Invader",0.34162,229,0.8
"Mutant",0.308481,676,0.8
"Invader",0.332146,273,0.9
"Mutant",0.303634,544,0.9
"Invader",0.33454,201,1
"Mutant",0.311313,772,1
"Invader",0.343389,147,1.1
"Mutant",0.30694,512,1.1
"Invader",0.334484,183,1.2
"Mutant",0.305368,724,1.2
"Invader",0.3351905,144,1.3
"Mutant",0.3053225,456,1.3
"Invader",0.3320505,104,1.4
"Mutant",0.3061305,432,1.4
"Invader",0.370146,369,1.5
"Mutant",0.310828,2083,1.5
"Invader",0.345409,209,1.6
"Mutant",0.310196,1428,1.6
"Invader",0.383955,304,1.7
"Mutant",0.312441,2671,1.7
"Invader",0.3269775,86,1.8
"Mutant",0.305376,577,1.8
"Invader",0.36433,215,1.9
"Mutant",0.3131635,1830,1.9
"Invader",0.3650455,194,2
"Mutant",0.3126745,1604,2
"Invader",0.3768575,186,2.1
"Mutant",0.313169,1822,2.1
"Invader",0.344664,83,2.2
"Mutant",0.305336,418,2.2
"Invader",0.3423505,60,2.3
"Mutant",0.3161705,944,2.3
"Invader",0.3610235,100,2.4
"Mutant",0.308168,993,2.4
"Invader",0.367241,165,2.5
"Mutant",0.316037,2294,2.5
"Invader",0.373225,143,2.6
"Mutant",0.3112865,1984,2.6
"Invader",0.347968,92,2.7
"Mutant",0.3077065,856,2.7
"Invader",0.357677,57,2.8
"Mutant",0.3113635,944,2.8
"Invader",0.362583,102,2.9
"Mutant",0.309397,1477,2.9
"Invader",0.3680135,60,3
"Mutant",0.309693,1404,3
"Invader",0.388209,154,3.1
"Mutant",0.3196115,2994,3.1
"Invader",0.393203,152,3.2
"Mutant",0.314299,2827,3.2
"Invader",0.349875,51,3.3
"Mutant",0.309812,1049,3.3
"Invader",0.417824,163,3.4
"Mutant",0.319301,4419,3.4
"Invader",0.408695,164,3.5
"Mutant",0.31725,4207,3.5
"Invader",0.415993,177,3.6
"Mutant",0.321392,6484,3.6
"Invader",0.390181,94,3.7
"Mutant",0.309651,1922,3.7
"Invader",0.3983935,130,3.8
"Mutant",0.3147205,3264,3.8
"Invader",0.422078,104,3.9
"Mutant",0.318144,3695,3.9
"Invader",0.4169215,156,4
"Mutant",0.319579,5083,4
"Invader",0.4268555,100,4.1
"Mutant",0.317076,4154,4.1
"Invader",0.409188,124,4.2
"Mutant",0.3180695,4568,4.2
"Invader",0.436438,117,4.3
"Mutant",0.3210965,5450,4.3
"Invader",0.461277,65,4.4
"Mutant",0.319766,3397,4.4
"Invader",0.414762,101,4.5
"Mutant",0.318461,4273,4.5
"Invader",0.414454,51,4.6
"Mutant",0.319121,3007,4.6
"Invader",0.4368925,98,4.7
"Mutant",0.320476,4578,4.7
"Invader",0.396404,64,4.8
"Mutant",0.314479,2419,4.8
"Invader",0.411471,54,4.9
"Mutant",0.323846,3413,4.9
"Invader",0.441177,99,5
"Mutant",0.320494,6121,5
"Invader",0.313868,1266,0.1
"Mutant",0.314649,985,0.1
"Invader",0.313617,696,0.2
"Mutant",0.308425,632,0.2
"Invader",0.315796,592,0.3
"Mutant",0.304981,529,0.3
"Invader",0.315228,411,0.4
"Mutant",0.3048245,396,0.4
"Invader",0.310118,147,0.5
"Mutant",0.3045765,202,0.5
"Invader",0.32325,247,0.6
"Mutant",0.305364,395,0.6
"Invader",0.3327975,394,0.7
"Mutant",0.305901,804,0.7
"Invader",0.320831,212,0.8
"Mutant",0.304751,391,0.8
"Invader",0.348484,538,0.9
"Mutant",0.307642,1397,0.9
"Invader",0.336127,261,1
"Mutant",0.307847,833,1
"Invader",0.350597,298,1.1
"Mutant",0.308312,1006,1.1
"Invader",0.333558,119,1.2
"Mutant",0.30667,445,1.2
"Invader",0.346454,288,1.3
"Mutant",0.3111135,1114,1.3
"Invader",0.34539,259,1.4
"Mutant",0.307102,1032,1.4
"Invader",0.338923,129,1.5
"Mutant",0.312148,843,1.5
"Invader",0.380813,295,1.6
"Mutant",0.310377,1845,1.6
"Invader",0.3675415,322,1.7
"Mutant",0.310017,1867,1.7
"Invader",0.3376065,62,1.8
"Mutant",0.3050415,452,1.8
"Invader",0.331716,75,1.9
"Mutant",0.306676,571,1.9
"Invader",0.362288,207,2
"Mutant",0.315698,1923,2
"Invader",0.339994,110,2.1
"Mutant",0.306318,949,2.1
"Invader",0.3458755,104,2.2
"Mutant",0.308304,820,2.2
"Invader",0.3719535,180,2.3
"Mutant",0.308444,1761,2.3
"Invader",0.385706,187,2.4
"Mutant",0.313656,2421,2.4
"Invader",0.3768535,120,2.5
"Mutant",0.311109,1787,2.5
"Invader",0.383464,169,2.6
"Mutant",0.316964,2921,2.6
"Invader",0.354028,86,2.7
"Mutant",0.307602,1072,2.7
"Invader",0.387886,163,2.8
"Mutant",0.314858,2703,2.8
"Invader",0.3963975,76,2.9
"Mutant",0.317181,1420,2.9
"Invader",0.378973,95,3
"Mutant",0.311851,1740,3
"Invader",0.3588135,38,3.1
"Mutant",0.312378,787,3.1
"Invader",0.403196,139,3.2
"Mutant",0.3118095,2982,3.2
"Invader",0.403323,149,3.3
"Mutant",0.3154985,3440,3.3
"Invader",0.356909,30,3.4
"Mutant",0.3067075,494,3.4
"Invader",0.416698,125,3.5
"Mutant",0.318636,3349,3.5
"Invader",0.365813,47,3.6
"Mutant",0.311646,1083,3.6
"Invader",0.36786,87,3.7
"Mutant",0.3153,2601,3.7
"Invader",0.4015205,122,3.8
"Mutant",0.31495,3063,3.8
"Invader",0.396791,114,3.9
"Mutant",0.315128,3271,3.9
"Invader",0.4098575,126,4
"Mutant",0.3216675,4944,4
"Invader",0.441718,141,4.1
"Mutant",0.317385,5153,4.1
"Invader",0.395208,89,4.2
"Mutant",0.31881,3225,4.2
"Invader",0.403168,39,4.3
"Mutant",0.3083295,764,4.3
"Invader",0.387109,91,4.4
"Mutant",0.314532,3243,4.4
"Invader",0.4215945,90,4.5
"Mutant",0.316749,3749,4.5
"Invader",0.4218575,66,4.6
"Mutant",0.316575,2962,4.6
"Invader",0.4445175,102,4.7
"Mutant",0.323858,5804,4.7
"Invader",0.434689,64,4.8
"Mutant",0.320173,2866,4.8
"Invader",0.389562,43,4.9
"Mutant",0.315965,2606,4.9
"Invader",0.4459275,64,5
"Mutant",0.31694,3387,5
"Invader",0.31531,1265,0.1
"Mutant",0.3170655,956,0.1
"Invader",0.3252085,860,0.2
"Mutant",0.3112825,762,0.2
"Invader",0.322724,418,0.3
"Mutant",0.307907,417,0.3
"Invader",0.3144225,282,0.4
"Mutant",0.303376,254,0.4
"Invader",0.324666,449,0.5
"Mutant",0.30395,547,0.5
"Invader",0.323276,257,0.6
"Mutant",0.303838,281,0.6
"Invader",0.32449,348,0.7
"Mutant",0.304354,588,0.7
"Invader",0.319528,222,0.8
"Mutant",0.3046955,384,0.8
"Invader",0.333819,302,0.9
"Mutant",0.3040915,750,0.9
"Invader",0.342651,201,1
"Mutant",0.30916,723,1
"Invader",0.3291075,166,1.1
"Mutant",0.3062545,470,1.1
"Invader",0.360994,140,1.2
"Mutant",0.3086425,656,1.2
"Invader",0.3370745,192,1.3
"Mutant",0.305688,669,1.3
"Invader",0.3382745,146,1.4
"Mutant",0.304962,620,1.4
"Invader",0.347287,175,1.5
"Mutant",0.307697,1269,1.5
"Invader",0.344435,183,1.6
"Mutant",0.306716,848,1.6
"Invader",0.3570265,178,1.7
"Mutant",0.3116955,874,1.7
"Invader",0.37751,200,1.8
"Mutant",0.3207885,2266,1.8
