"speciesType","median","n","z"
"Invader",0.3687,293,1.4
"Mutant",0.3132695,1892,1.4
"Invader",0.3533705,260,1.5
"Mutant",0.308432,1317,1.5
"Invader",0.3389595,110,1.6
"Mutant",0.3045055,540,1.6
"Invader",0.368451,221,1.7
"Mutant",0.3116255,1384,1.7
"Invader",0.350306,125,1.8
"Mutant",0.304613,715,1.8
"Invader",0.359219,125,1.9
"Mutant",0.312964,789,1.9
"Invader",0.3370565,82,2
"Mutant",0.304782,583,2
"Invader",0.360239,101,2.1
"Mutant",0.307191,844,2.1
"Invader",0.378411,127,2.2
"Mutant",0.313054,1310,2.2
"Invader",0.361384,125,2.3
"Mutant",0.308548,1128,2.3
"Invader",0.375022,119,2.4
"Mutant",0.308121,1354,2.4
"Invader",0.370996,75,2.5
"Mutant",0.312494,940,2.5
"Invader",0.398116,188,2.6
"Mutant",0.3125035,2250,2.6
"Invader",0.377007,159,2.7
"Mutant",0.311677,2298,2.7
"Invader",0.38942,95,2.8
"Mutant",0.3073415,1038,2.8
"Invader",0.39822,184,2.9
"Mutant",0.319164,3939,2.9
"Invader",0.374255,103,3
"Mutant",0.312324,1679,3
"Invader",0.416941,155,3.1
"Mutant",0.319494,3928,3.1
"Invader",0.416033,232,3.2
"Mutant",0.321366,6460,3.2
"Invader",0.434872,101,3.3
"Mutant",0.318817,3888,3.3
"Invader",0.434597,68,3.4
"Mutant",0.318692,2583,3.4
"Invader",0.3746445,88,3.5
"Mutant",0.3102745,1572,3.5
"Invader",0.404309,115,3.6
"Mutant",0.321329,3565,3.6
"Invader",0.395511,134,3.7
"Mutant",0.31559,3130,3.7
"Invader",0.4047255,86,3.8
"Mutant",0.312709,1979,3.8
"Invader",0.408488,119,3.9
"Mutant",0.315967,3237,3.9
"Invader",0.379847,94,4
"Mutant",0.313581,2909,4
"Invader",0.386387,75,4.1
"Mutant",0.321704,3186,4.1
"Invader",0.3980695,70,4.2
"Mutant",0.310159,2109,4.2
"Invader",0.4040105,58,4.3
"Mutant",0.317926,2430,4.3
"Invader",0.375416,38,4.4
"Mutant",0.310386,1245,4.4
"Invader",0.367578,47,4.5
"Mutant",0.311194,1223,4.5
"Invader",0.4355685,70,4.6
"Mutant",0.319045,4561,4.6
"Invader",0.364408,43,4.7
"Mutant",0.311166,1594,4.7
"Invader",0.431416,65,4.8
"Mutant",0.318339,3307,4.8
"Invader",0.3733795,30,4.9
"Mutant",0.310918,1644,4.9
"Invader",0.4066985,64,5
"Mutant",0.318138,3753,5
"Invader",0.314077,1338,0.1
"Mutant",0.311548,680,0.1
"Invader",0.313396,530,0.2
"Mutant",0.31146,452,0.2
"Invader",0.3173575,552,0.3
"Mutant",0.304799,381,0.3
"Invader",0.323238,383,0.4
"Mutant",0.304193,413,0.4
"Invader",0.320286,369,0.5
"Mutant",0.3043735,408,0.5
"Invader",0.3254025,452,0.6
"Mutant",0.3065385,736,0.6
"Invader",0.326983,344,0.7
"Mutant",0.30386,588,0.7
"Invader",0.3309525,290,0.8
"Mutant",0.303518,481,0.8
"Invader",0.319725,98,0.9
"Mutant",0.303972,237,0.9
"Invader",0.3347495,210,1
"Mutant",0.307924,588,1
"Invader",0.331903,131,1.1
"Mutant",0.3093545,550,1.1
"Invader",0.3415965,298,1.2
"Mutant",0.3059035,930,1.2
"Invader",0.3483335,304,1.3
"Mutant",0.307096,1075,1.3
"Invader",0.330588,102,1.4
"Mutant",0.3043925,480,1.4
"Invader",0.360425,301,1.5
"Mutant",0.308739,1498,1.5
"Invader",0.336763,120,1.6
"Mutant",0.308756,522,1.6
"Invader",0.367956,201,1.7
"Mutant",0.3143145,1510,1.7
"Invader",0.355213,88,1.8
"Mutant",0.312336,795,1.8
"Invader",0.348488,177,1.9
"Mutant",0.309735,1216,1.9
"Invader",0.373527,235,2
"Mutant",0.311243,2003,2
"Invader",0.364869,127,2.1
"Mutant",0.313307,1236,2.1
"Invader",0.3737755,226,2.2
"Mutant",0.316928,2691,2.2
"Invader",0.352083,93,2.3
