"typeEXT","N","lifespan","sd","se","ci","z"
"Generalists",78,33921.7948717949,95205.0714127699,10779.8515894776,21465.4268591816,1.9
"Specialists",473,585227.695560254,1336211.37442168,61439.064453123,120727.926089778,1.9
"Generalists",46,97202.1739130435,190783.11885388,28129.4362451482,56655.5928686608,2
"Specialists",583,373643.396226415,823613.266342265,34110.576230805,66994.8225894925,2
"Generalists",205,32399.0243902439,72114.7492394382,5036.71256406498,9930.68917418875,2.1
"Specialists",994,204668.00804829,445290.399856189,14123.7538473498,27715.8308983725,2.1
"Generalists",60,171428.333333333,295432.141448023,38140.125458753,76318.2147626713,2.2
"Specialists",697,315901.004304161,572536.735193072,21686.3752407817,42578.5575645949,2.2
"Generalists",185,43990.8108108108,131946.966338637,9700.93389930855,19139.3657889851,2.3
"Specialists",820,271940.12195122,792614.380686656,27679.2948167101,54330.7119115249,2.3
"Generalists",87,67182.7586206897,142805.190289768,15310.3234549557,30435.91570469,2.4
"Specialists",772,275259.974093264,598455.233910667,21538.8751743446,42281.7944428324,2.4
"Generalists",275,31541.4545454545,93000.8709522474,5608.16352954304,11040.5651305558,2.5
"Specialists",946,234948.308668076,666478.597283775,21669.0882956784,42525.0979679446,2.5
"Generalists",270,46567.7777777778,111163.650247315,6765.20431278544,13319.4829103183,2.6
"Specialists",1104,165168.75,414028.993855849,12460.8084068948,24449.5646439141,2.6
"Generalists",208,37122.1153846154,77905.2018464145,5401.75384389653,10649.5058024744,2.7
"Specialists",896,218142.1875,498558.573468675,16655.6729389156,32688.7250792684,2.7
"Generalists",204,56169.6078431373,159621.628217856,11175.7493486793,22035.4356364942,2.8
"Specialists",1172,164625.085324232,428329.558012121,12511.639982032,24547.7362408799,2.8
"Generalists",104,51595.1923076923,176978.915632918,17354.2104674373,34417.9833809206,2.9
"Specialists",783,294304.086845466,655406.31243699,23422.3107658504,45978.0475701364,2.9
"Generalists",401,28910.2244389027,94522.908970257,4720.24882057909,9279.59541949075,3
"Specialists",1442,122536.685159501,329169.847980972,8668.36952659067,17003.9743204682,3
"Generalists",209,53257.4162679426,139931.330531965,9679.25252769847,19082.0139016744,3.1
"Specialists",883,223639.86409966,536436.712762162,18052.5327166244,35430.934513809,3.1
"Generalists",799,15186.3579474343,50088.9852436029,1772.02091581192,3478.37285019756,3.2
"Specialists",1783,109409.590577678,493184.471697414,11679.7547186563,22907.4575502456,3.2
"Generalists",179,38336.312849162,82964.078255053,6201.02635256444,12236.9868935383,3.3
"Specialists",1045,196892.918660287,449495.739869172,13904.8860697581,27284.7078850379,3.3
"Generalists",383,29001.8276762402,78447.3997366813,4008.47487501425,7881.43727153224,3.4
"Specialists",1442,129398.821081831,339256.069939766,8933.98042504422,17524.9997431485,3.4
"Generalists",361,40596.3988919668,154483.704869897,8130.72130894193,15989.6770003834,3.5
"Specialists",1394,118749.354375897,345252.339944568,9247.09339098699,18139.7312156758,3.5
"Generalists",444,37865.3153153153,130887.507796549,6211.64622846058,12207.9558656055,3.6
"Specialists",1202,149105.158069884,462148.669113141,13329.9792344882,26152.6353149892,3.6
"Generalists",523,29786.2332695985,146204.855238024,6393.09194804515,12559.3502288129,3.7
"Specialists",1690,103906.627218935,283301.924215012,6891.3795848296,13516.5418433056,3.7
"Generalists",399,50207.7694235589,162270.114516237,8123.66666370172,15970.6601200463,3.8
"Specialists",1493,109703.415941058,273101.315290235,7067.95682447504,13864.1877971945,3.8
"Generalists",237,58064.9789029536,135821.493633123,8822.55407893117,17381.0213506032,3.9
"Specialists",1071,170614.939309057,411274.823641875,12567.167089935,24659.0882552744,3.9
"Generalists",276,48832.9710144928,155729.75344795,9373.82960983396,18453.5822264947,4
"Specialists",1270,146211.811023622,379840.018190682,10658.5679342367,20910.3531216002,4
"Generalists",358,26047.4860335196,84163.8360353381,4448.19695321488,8747.96293135697,4.1
"Specialists",1366,135606.881405564,364031.798308496,9849.49516657563,19321.7884326611,4.1
"Generalists",600,27877.8333333333,68819.5811516512,2809.54763556007,5517.76120642437,4.2
"Specialists",2484,60631.9645732689,125844.586152443,2524.98464336456,4951.29250246179,4.2
"Generalists",204,38966.6666666667,238332.361314862,16686.6029464284,32901.2895462987,4.3
"Specialists",501,494955.888223553,1490794.98092469,66603.8078180879,130857.822471061,4.3
"Generalists",1117,18555.8639212175,60777.4689294685,1818.51138110714,3568.08653036728,4.4
"Specialists",2532,56656.2401263823,137083.857039003,2724.29707883193,5342.07880437074,4.4
"Generalists",450,34056,85710.7547027496,4040.44372472874,7940.52836619693,4.5
"Specialists",1821,87722.2954420648,217795.17713659,5103.7957461187,10009.9127187311,4.5
"Generalists",853,25544.9003516999,87529.2377061697,2996.94401860828,5882.25856419891,4.6
"Specialists",2164,69683.4103512015,202310.951250887,4349.01358119377,8528.68239481387,4.6
"Generalists",471,35289.5966029724,99380.3437372114,4579.20452240535,8998.24757530978,4.7
"Specialists",1929,82740.9020217729,212504.010265833,4838.39161026875,9489.03028248309,4.7
"Generalists",274,53197.0802919708,94670.8037905308,5719.27241631859,11259.4836773328,4.8
"Specialists",1423,117977.231201687,307316.338966388,8146.72770558817,15980.8951650827,4.8
"Generalists",647,23552.8593508501,71205.6165842465,2799.3816476474,5496.98618785285,4.9
"Specialists",1667,96143.3713257349,241412.790760492,5912.79029797606,11597.2814613869,4.9
"Generalists",236,43046.186440678,164569.683702393,10712.5739508366,21104.9497333343,5
"Specialists",1187,166084.161752317,489468.557386152,14206.9037843837,27873.4653353947,5
"Generalists",151,6186.09271523179,7553.18069632566,614.669127768293,1214.52800629494,0.1
"Specialists",1183,370086.306001691,1120203.41765186,32569.0072627632,63899.5130155098,0.1
"Generalists",99,11965.6565656566,17079.5089162313,1716.55523268694,3406.44799313346,0.2
"Specialists",730,499187.945205479,1100808.75370229,40742.7598783337,79987.141469108,0.2
"Generalists",50,7360,16795.1037568716,2375.18635144311,4773.11567542742,0.3
"Specialists",402,984298.756218905,1907927.71455408,95158.7853943094,187072.415011174,0.3
"Generalists",35,20568.5714285714,44440.1366773231,7511.75411871129,15265.7210630958,0.4
"Specialists",301,1177159.80066445,2183160.81678499,125835.297510222,247631.6608933,0.4
"Generalists",39,23397.4358974359,31158.0984419062,4989.28877957961,10100.2870874524,0.5
"Specialists",541,578930.868761553,1271641.92296773,54672.1564918525,107396.167730827,0.5
"Generalists",289,19570.9342560554,26798.6729983288,1576.39252931346,3102.71122361833,0.6
"Specialists",1197,214334.502923977,546968.613421054,15809.397923806,31017.2397765955,0.6
"Generalists",103,15138.8349514563,23117.4250254181,2277.82757133123,4518.0601875593,0.7
"Specialists",355,1023834.92957746,2851783.10786659,151356.931883053,297671.845980442,0.7
"Generalists",118,44106.7796610169,133526.745442683,12292.1332665105,24343.9258103571,0.8
"Specialists",756,336350,713756.726536077,25959.0811677418,50960.5583904143,0.8
"Generalists",38,29565.7894736842,74943.2804492506,12157.4054586787,24633.2433103638,0.9
"Specialists",390,859394.615384615,1881290.77934515,95262.8616587172,187294.508414105,0.9
"Generalists",301,30803.6544850498,67595.6602645482,3896.14908548765,7667.24351765327,1
"Specialists",1024,218006.8359375,561455.639707087,17545.4887408465,34429.260245846,1
"Generalists",218,27795.871559633,53445.6856938235,3619.79858991812,7134.46483743928,1.1
"Specialists",1006,207237.17693837,463928.447186673,14626.8905970411,28702.7460076217,1.1
"Generalists",108,40301.8518518519,124062.203256723,11937.8910744212,23665.4767409013,1.2
"Specialists",562,418783.274021352,862545.981251561,36384.3062296095,71466.1130480401,1.2
"Generalists",108,40199.0740740741,80020.8588406919,7700.01073207642,15264.3732254426,1.3
"Specialists",485,550118.969072165,1655758.06816714,75184.1009226525,147727.543954795,1.3
"Generalists",312,23234.9358974359,56946.2314571061,3223.94550299819,6343.50330432848,1.4
"Specialists",1183,197588.419273035,692320.924265198,20128.6702533197,39491.9076427442,1.4
"Generalists",175,57790.2857142857,115647.232463015,8742.10905457183,17254.2258064225,1.5
"Specialists",979,235370.582226762,711395.768026217,22736.3073491494,44617.5606882667,1.5
"Generalists",29,44482.7586206897,96097.7146634965,17844.8976224798,36553.6157344927,1.6
"Specialists",468,544966.666666667,1083364.431992,50078.5385841164,98407.1708528129,1.6
"Generalists",240,35603.3333333333,73391.7002288581,4737.41387893691,9332.41828225572,1.7
"Specialists",891,247661.054994388,759399.735286688,25440.8483620319,49931.0491735278,1.7
"Generalists",53,113100,204619.821958826,28106.6941393446,56400.207995562,1.8
"Specialists",595,411932.773109244,928988.527137846,38084.8165240448,74797.2740608059,1.8
"Generalists",145,29394.4827586207,78803.8068201572,6544.29995168138,12935.3001078088,1.9
"Specialists",492,521458.130081301,1160602.07310371,52323.9823624843,102806.538506573,1.9
"Generalists",45,78080,127239.660412224,18967.7686743815,38227.0259458987,2
"Specialists",484,591072.107438017,1348187.42574417,61281.2466247348,120410.764094215,2
"Generalists",87,110109.195402299,186466.446655732,19991.3014786273,39741.3920365999,2.1
"Specialists",621,365008.051529791,702749.978918927,28200.3852393871,55379.8483390215,2.1
"Generalists",209,34184.2105263158,116721.192251655,8073.77369201625,15916.9172814897,2.2
"Specialists",807,295266.914498141,840766.271804915,29596.3744850221,58095.0667566335,2.2
"Generalists",151,58188.7417218543,192253.596947035,15645.3758352739,30913.7815167988,2.3
"Specialists",777,294254.954954955,759828.903186641,27258.7100627102,53509.5491579433,2.3
"Generalists",148,49816.8918918919,99426.301553533,8172.79164345895,16151.3430724649,2.4
"Specialists",936,224903.418803419,594766.996402532,19440.5674403685,38152.1992320345,2.4
"Generalists",111,59872.972972973,151653.203632466,14394.2850809237,28526.0944344905,2.5
"Specialists",586,444865.017064846,1402313.12109479,57929.0210857205,113774.185206864,2.5
"Generalists",332,55818.0722891566,155151.316175778,8515.03470323039,16750.4084153822,2.6
"Specialists",1354,128885.745937962,335450.764449081,9116.31774155806,17883.6525297962,2.6
"Generalists",354,58401.9774011299,243592.423307792,12946.7912274612,25462.5450470682,2.7
"Specialists",1425,128785.403508772,341789.017170978,9054.2122506484,17761.0261309805,2.7
"Generalists",149,88665.7718120805,282368.513474141,23132.5299587527,45712.7127856849,2.8
"Specialists",735,330626.93877551,781854.787512107,28839.1482970184,56617.0507478635,2.8
"Generalists",750,28408,134803.2530222,4922.31883368901,9663.1826502736,2.9
"Specialists",2036,77720.6286836935,219437.586178419,4863.20000177605,9537.36937280198,2.9
"Generalists",304,35833.8815789474,128211.871126487,7353.45512635022,14470.3061993706,3
"Specialists",1004,191814.143426295,551314.649732921,17399.3360628623,34143.2733853911,3
"Generalists",792,18356.0606060606,53740.2724083132,1909.57742909967,3748.43858379849,3.1
"Specialists",2001,79542.0789605197,223403.870374879,4994.21400847587,9794.40692843984,3.1
"Generalists",1355,15983.9114391144,45137.0618176931,1226.20656733755,2405.47096983733,3.2
"Specialists",3165,44995.5450236967,129446.328913858,2300.92721672,4511.46029017033,3.2
"Generalists",752,16317.0212765957,59543.1388350254,2171.31485998223,4262.56858926759,3.3
"Specialists",2005,89578.4039900249,337184.66227647,7530.27129476865,14767.9799210939,3.3
"Generalists",487,15685.0102669405,44691.3139242703,2025.15674363717,3979.14375453414,3.4
"Specialists",1344,167575,869230.889205549,23710.2163462988,46513.0888891987,3.4
"Generalists",203,61403.9408866995,156432.79037716,10979.4294685157,21648.9907225985,3.5
"Specialists",1013,174850.740375123,409169.23433227,12855.7745819815,25227.026390878,3.5
"Generalists",735,21191.5646258503,66181.2156695094,2441.13091542639,4792.43115980522,3.6
"Specialists",1753,93672.9035938391,249764.499927515,5965.40250553771,11700.0569226229,3.6
"Generalists",518,32918.3397683398,128141.87310813,5630.23066859458,11060.9433886695,3.7
"Specialists",1754,89648.34663626,243317.526424346,5809.76543257674,11394.7984899362,3.7
"Generalists",323,42750.4643962848,167409.508395839,9314.91422070661,18325.7764636515,3.8
"Specialists",1174,166806.132879046,399940.534855066,11672.4325931092,22901.1777452652,3.8
"Generalists",578,36491.5224913495,115382.317611649,4799.27171836569,9426.172142206,3.9
"Specialists",1781,85183.4362717574,184286.614646448,4366.78522669544,8564.56543927556,3.9
"Generalists",479,37082.8810020877,108585.517651137,4961.39893809116,9748.84761579093,4
"Specialists",1671,93365.5894673848,198709.277651515,4861.04811373901,9534.38937662882,4
"Generalists",647,18212.828438949,86306.4753275999,3393.0576644802,6662.75394493306,4.1
"Specialists",1556,128160.796915167,467218.471373592,11844.4584244297,23232.7953877484,4.1
"Generalists",196,94688.7755102041,175130.978315295,12509.3555939497,24671.0017811451,4.2
"Specialists",1368,123434.649122807,231174.723784993,6250.24870365217,12261.1183878621,4.2
"Generalists",396,23444.696969697,90002.8429770892,4522.81303364058,8891.79554462842,4.3
"Specialists",1274,153686.342229199,444308.069473046,12447.9973422516,24420.8453591841,4.3
"Generalists",154,41802.5974025974,66810.1974018154,5383.71912974516,10636.023371433,4.4
"Specialists",800,264328.875,674789.760948242,23857.4207920875,46830.6249981485,4.4
"Generalists",186,41732.7956989247,153363.33206256,11245.1450985181,22185.2088056471,4.5
"Specialists",763,301527.52293578,864264.888569585,31288.4897459461,61421.8731594042,4.5
"Generalists",857,22871.9953325554,148413.653929705,5069.71384313776,9950.52601926152,4.6
"Specialists",2344,77919.5819112628,260669.417795722,5384.0771981446,10558.0515084121,4.6
"Generalists",211,44021.327014218,121435.563042973,8359.96892541788,16480.2140134201,4.7
"Specialists",1005,185892.537313433,427528.220375172,13485.9565510452,26463.891819788,4.7
"Generalists",621,26507.729468599,129089.229847961,5180.17235314389,10172.8099404267,4.8
"Specialists",1729,98732.6778484673,313331.712857532,7535.40946250643,14779.483209554,4.8
"Generalists",212,26015.0943396226,70742.1347493911,4858.58976205526,9577.59537913175,4.9
"Specialists",1043,204085.618408437,499697.197758284,15472.6520699627,30361.1069013633,4.9
"Generalists",711,27800.7032348804,89108.7876797698,3341.84062948983,6561.07185943142,5
"Specialists",1970,78138.1218274112,163805.826731,3690.59367316688,7237.87983383551,5
"Generalists",246,6464.63414634146,8736.2492108323,557.002905634464,1097.12523695329,0.1
"Specialists",1183,339268.892645816,1055330.89606958,30682.8912294842,60199.0042758693,0.1
"Generalists",125,6849.6,10688.180266975,955.979905309122,1892.15201845212,0.2
"Specialists",569,745922.847100176,2045560.61150047,85754.3618234297,168434.368111989,0.2
"Generalists",79,10791.1392405063,13955.6825102364,1570.13695414319,3125.90255278888,0.3
"Specialists",605,599434.710743802,1372512.2252143,55800.5570096122,109586.676764684,0.3
"Generalists",59,25644.0677966102,30725.566525943,4000.12804528138,8007.12624705945,0.4
"Specialists",503,670010.536779324,1817867.75937799,81054.7171860054,159248.2713371,0.4
"Generalists",68,29316.1764705882,47273.7048183446,5732.77877295015,11442.6743225874,0.5
"Specialists",509,614162.671905697,1331559.6201113,59020.3425007148,115954.00701227,0.5
"Generalists",139,25305.7553956835,39713.469714699,3368.45253711885,6660.4531327971,0.6
"Specialists",736,400555.97826087,1146379.38819507,42256.1048727837,82957.0496790905,0.6
"Generalists",70,49720,70050.711651621,8372.66146702516,16703.0026058869,0.7
"Specialists",635,441547.401574803,856037.333315729,33970.8053451159,66708.9042368132,0.7
"Generalists",64,48945.3125,102497.769127388,12812.2211409235,25603.1809456487,0.8
"Specialists",508,585371.25984252,1097853.45418443,48709.3704477759,95697.0604874258,0.8
"Generalists",10,46960,112047.353084905,35432.4841541393,80153.8478250201,0.9
"Specialists",248,1347237.90322581,2998632.03555061,190413.324670884,375040.893855275,0.9
"Generalists",85,26349.4117647059,63883.8876465759,6929.18049720365,13779.4353209587,1
"Specialists",481,569485.446985447,1437265.74452016,65533.6770539724,128768.333750452,1
"Generalists",87,27566.6666666667,43716.6874281426,4686.92085732975,9317.29029422093,1.1
"Specialists",412,720981.796116505,2122279.44091651,104557.203479059,205533.602937728,1.1
"Generalists",96,88697.9166666667,139351.087831508,14222.4608453732,28235.1546655947,1.2
"Specialists",809,261214.462299135,483684.223379803,17005.4316904815,33380.034850704,1.2
"Generalists",150,52362.6666666667,105105.346671239,8581.81561942904,16957.7807524907,1.3
"Specialists",842,251431.116389549,559911.645064766,19295.8295581263,37873.6372524138,1.3
"Generalists",29,74258.6206896552,171016.602195813,31756.9857786419,65051.23647086,1.4
"Specialists",438,663216.438356164,1579995.81183123,75495.1201272197,148378.662731888,1.4
"Generalists",223,52615.6950672646,97498.6956500247,6528.99557354383,12866.7398607969,1.5
"Specialists",1083,180829.916897507,399446.459540521,12137.9221548717,23816.5317983772,1.5
"Generalists",77,39658.4415584416,90055.6090638173,10262.7891223364,20440.1159935166,1.6
"Specialists",384,680429.6875,1581555.78889024,80708.4308859583,158687.075941202,1.6
"Generalists",268,23629.8507462687,51625.1470672527,3153.5077660094,6208.9055613014,1.7
"Specialists",910,229001.868131868,628308.395953412,20828.2205120458,40876.9899266386,1.7
"Generalists",151,24062.2516556291,83983.5053183833,6834.48073552466,13504.2869192334,1.8
"Specialists",502,541302.589641434,1704810.50730035,76089.4167034172,149493.662405515,1.8
"Generalists",172,42885.4651162791,115643.116912578,8817.70499898717,17405.5672947654,1.9
"Specialists",862,264344.663573086,630410.167522127,21471.8555148841,42143.3056825578,1.9
"Generalists",327,36691.1314984709,97809.7750688679,5408.89292064284,10640.7393741615,2
"Specialists",1263,141899.920823436,357154.535187148,10049.7323128714,19716.0224076893,2
"Generalists",236,21454.2372881356,51429.0325227328,3347.74486846598,6595.42585127123,2.1
"Specialists",753,308336.786188579,883859.491450061,32209.6304386824,63231.4855865162,2.1
"Generalists",516,24047.0930232558,80834.5531429743,3558.54277885793,6991.04552064223,2.2
"Specialists",1476,128955.826558266,347246.211776524,9038.45786578457,17729.6003536023,2.2
"Generalists",141,29002.1276595745,78020.7861205544,6570.53549145449,12990.301633519,2.3
"Specialists",717,309140.027894003,636794.370967214,23781.5215731473,46689.8504816975,2.3
"Generalists",856,24292.8738317757,82059.9372056034,2804.7509123139,5505.00363767628,2.4
"Specialists",2149,73290.7398790135,190816.19345876,4116.20523092168,8072.16250012229,2.4
"Generalists",396,32482.3232323232,103268.540141436,5189.43939843785,10202.3748890204,2.5
"Specialists",1191,188422.250209908,689833.76969777,19988.8850267877,39217.3825617327,2.5
"Generalists",114,67683.3333333333,213677.647348526,20012.7452758787,39648.8578785393,2.6
"Specialists",534,431420.037453183,1111539.541441,48101.0202611407,94490.8335949935,2.6
"Generalists",220,21869.5454545455,59578.0239721973,4016.74955678871,7916.43242253246,2.7
"Specialists",819,285400.732600733,817340.625439952,28560.1928028504,56059.8969372766,2.7
"Generalists",242,23752.479338843,59861.2976165201,3848.02995229704,7580.0657077882,2.8
"Specialists",615,402755.284552846,1292114.59680281,52103.0893591318,102321.876552823,2.8
"Generalists",445,35324.4943820225,93682.3841812385,4440.97091972525,8727.93467248191,2.9
"Specialists",1699,96299.5291347852,265555.856631958,6442.57071951,12636.2137865938,2.9
"Generalists",165,36560,119237.922024751,9282.65964002823,18328.9324151617,3
"Specialists",613,484073.246329527,1476466.94149099,59633.938098275,117111.977645168,3
"Generalists",847,14302.1251475797,29522.4544140108,1014.40353859368,1991.0428982383,3.1
"Specialists",2107,81834.7887992406,281785.742139175,6138.84611661945,12038.8362120923,3.1
"Generalists",425,25969.6470588235,73087.440821056,3545.26162836816,6968.47655281647,3.2
"Specialists",1330,128911.203007519,273237.448123866,7492.28691394918,14697.9982614752,3.2
"Generalists",245,30632.2448979592,90639.8031497297,5790.764608857,11406.2658913135,3.3
"Specialists",852,268892.605633803,784653.124588475,26881.7731049459,52762.3483839217,3.3
"Generalists",727,26654.1953232462,74768.6257022276,2773.01483311016,5444.08514849714,3.4
"Specialists",2150,73193.8139534884,178596.450705546,3851.71011277405,7553.46734006542,3.4
"Generalists",480,31907.9166666667,98485.436011107,4495.22457408457,8832.79649329892,3.5
"Specialists",1635,116763.058103976,336228.036806612,8315.24493378057,16309.6616134479,3.5
"Generalists",232,20385.3448275862,77554.8835177794,5091.72755278545,10032.1628699558,3.6
"Specialists",857,253970.128354726,565743.462464743,19325.4285396185,37930.7758715304,3.6
"Generalists",784,19076.6581632653,54350.4883577969,1941.08886992132,3810.3541793737,3.7
"Specialists",1967,77371.9369598373,203841.130829785,4596.10180630415,9013.74324745118,3.7
"Generalists",657,24498.1735159817,81033.4658528332,3161.41660156469,6207.71596992914,3.8
"Specialists",1823,82856.9939659901,181372.848822449,4247.94553873268,8331.3547663129,3.8
"Generalists",616,26465.4220779221,76300.025823289,3074.21564820679,6037.23325692861,3.9
"Specialists",1825,95417.095890411,229397.668924531,5369.79326700906,10531.5898504967,3.9
"Generalists",470,21837.0212765957,93717.5388671806,4322.86771723171,8494.58631620443,4
"Specialists",1350,137807.481481481,421881.305521392,11482.1547838514,22524.8194969946,4
"Generalists",660,34227.8787878788,92569.3305122575,3603.25630327657,7075.24705075352,4.1
"Specialists",2309,69421.5244694673,169580.972311004,3529.10966937034,6920.55710545818,4.1
"Generalists",460,27321.7391304348,66187.076627067,3085.98835990551,6064.41692525588,4.2
"Specialists",1425,118478.315789474,292898.793422187,7759.07858465992,15220.4513964875,4.2
"Generalists",582,31003.6082474227,116487.181320896,4828.54901474333,9483.53796959277,4.3
"Specialists",1612,110825.992555831,337902.561904091,8416.06276679498,16507.5821100441,4.3
"Generalists",225,56770.6666666667,158873.475692362,10591.5650461574,20871.8541751865,4.4
"Specialists",961,202751.925078044,417962.510752732,13482.6616371849,26458.8897747632,4.4
"Generalists",609,34122.3316912972,111369.667574876,4512.92667260171,8862.81661744047,4.5
"Specialists",1916,77038.2567849687,169219.285369239,3865.91324928265,7581.84274399444,4.5
"Generalists",761,21749.4086727989,70441.2086165506,2553.49181743526,5012.7349834082,4.6
"Specialists",2159,71792.728114868,186641.79464116,4016.82194060037,7877.24442996827,4.6
"Generalists",806,20892.0595533499,80585.891596784,2838.51696600768,5571.76828471219,4.7
"Specialists",2144,76646.4552238806,215485.744562575,4653.78327226246,9126.4021403266,4.7
"Generalists",461,32058.568329718,86268.6745839276,4017.93274526626,7895.77809988047,4.8
"Specialists",1717,99098.5439720443,262452.359808799,6333.81442002246,12422.8103561424,4.8
"Generalists",1109,18958.5211902615,61839.0102419407,1856.93523446998,3643.50622470777,4.9
"Specialists",2517,62513.0313865713,192985.228736711,3846.64812944572,7542.920415536,4.9
"Generalists",824,20906.432038835,76767.0264490564,2674.30608680277,5249.26337207799,5
"Specialists",2552,55637.6959247649,119164.732347197,2358.88846587276,4625.5310795861,5
"Generalists",433,5049.19168591224,6052.73549595592,290.875905002229,571.708013020255,0.1
"Specialists",1333,312865.041260315,959707.185953592,26285.9496664223,51566.3713571675,0.1
"Generalists",81,7606.17283950617,11340.0765614591,1260.00850682878,2507.4968399094,0.2
"Specialists",593,654559.865092749,1939442.20523338,79643.3456625938,156417.879507852,0.2
"Generalists",174,8890.22988505747,15797.4888965993,1197.60454259713,2363.79751910451,0.3
"Specialists",765,440983.006535948,1076902.04693366,38935.4756778611,76433.2158106235,0.3
"Generalists",66,18537.8787878788,30230.2740014123,3721.0894995476,7431.52890006595,0.4
"Specialists",567,589527.160493827,1512498.62139453,63518.9715958409,124761.683746328,0.4
"Generalists",14,38307.1428571429,37373.1385291159,9988.39141745658,21578.6077467552,0.5
"Specialists",370,942778.378378378,1764021.02042658,91707.0860020723,180334.068829216,0.5
"Generalists",48,33593.75,43340.9069520416,6255.72107392094,12584.8875269998,0.6
"Specialists",473,645457.505285412,1305624.2136539,60032.6653026419,117964.347994908,0.6
"Generalists",36,27102.7777777778,28539.0007444561,4756.50012407601,9656.20861261044,0.7
"Specialists",343,1039427.11370262,2108863.98155115,113867.951919303,223969.680960458,0.7
"Generalists",26,49861.5384615385,101910.376613662,19986.2691919482,41162.4919265228,0.8
"Specialists",372,823106.720430108,1470087.68680033,76220.4959114965,149878.367513439,0.8
"Generalists",199,43715.5778894472,91605.8250350172,6493.76476366057,12805.8176108962,0.9
"Specialists",1087,190462.005519779,419911.493547492,12736.2914891026,24990.5244264217,0.9
"Generalists",80,30498.75,51123.1857868815,5715.7459322909,11376.9076925504,1
"Specialists",534,486896.441947566,933393.245596626,40391.8760819346,79346.8001453399,1
"Generalists",49,61904.0816326531,160877.427408757,22982.4896298224,46209.3924664594,1.1
"Specialists",417,681275.059952038,1750322.87319631,85713.6798714673,168485.915240243,1.1
"Generalists",122,39023.7704918033,69838.0772472996,6322.84242575931,12517.7343105498,1.2
"Specialists",786,284946.946564885,522784.15757466,18647.0933620698,36604.0684593589,1.2
"Generalists",93,46709.6774193548,104759.885975871,10863.0941302445,21575.0426118308,1.3
"Specialists",737,336231.614654003,765683.444524736,28204.3121797884,55370.4912070967,1.3
"Generalists",157,39706.3694267516,101373.044691079,8090.44974065005,15980.9643044086,1.4
