"typeEXT","N","lifespan","sd","se","ci","z"
"Generalists",158,7431.64556962025,10102.7592157622,803.732368437311,1587.52346415125,0.1
"Specialists",1497,266551.169004676,710514.863266606,18363.7878633801,36021.5062500806,0.1
"Generalists",103,8466.99029126214,9509.89565466677,937.037862083056,1858.61015653564,0.2
"Specialists",536,752575.186567164,1812392.44438079,78283.4303731392,153780.598004132,0.2
"Generalists",50,17020,31743.9372324923,4489.27065573108,9021.52714252812,0.3
"Specialists",536,623732.835820896,1443091.98550222,62332.0800742439,122445.637639656,0.3
"Generalists",216,10442.5925925926,26341.5639510401,1792.31640852611,3532.7616067752,0.4
"Specialists",786,402590.58524173,897323.614511318,32006.4733663872,62828.4054515958,0.4
"Generalists",153,18084.9673202614,36155.3224065461,2922.98457275393,5774.92287148764,0.5
"Specialists",870,354210.689655172,1088475.69075118,36902.7820238413,72429.0021687515,0.5
"Generalists",38,48744.7368421053,59180.9990387639,9600.42576800657,19452.3103330054,0.6
"Specialists",476,679413.445378151,1175242.30645962,53867.1427987751,105847.361242402,0.6
"Generalists",46,37165.2173913043,60442.9362379327,8911.82475466652,17949.3364394861,0.7
"Specialists",418,719502.631578947,1935922.91502495,94689.0849360455,186127.413222095,0.7
"Generalists",55,54225.4545454545,92390.774788359,12457.9695310368,24976.7250856536,0.8
"Specialists",499,591169.138276553,1356504.71215764,60725.4908476592,119309.739128219,0.8
"Generalists",65,62380,74705.6687106139,9266.09779083033,18511.1583365494,0.9
"Specialists",517,512966.344294004,889460.489702082,39118.427609113,76850.9686885841,0.9
"Generalists",58,35891.3793103448,65981.5664967298,8663.80413118217,17348.968518755,1
"Specialists",495,599822.828282828,1580933.54455258,71057.6785533916,139612.545089212,1
"Generalists",33,51778.7878787879,58495.799836269,10182.8117187514,20741.708720101,1.1
"Specialists",395,662025.316455696,1438292.26655346,72368.3377865878,142276.383764728,1.1
"Generalists",126,51395.2380952381,98740.71408058,8796.52195749848,17409.4086851609,1.2
"Specialists",649,423756.2403698,1124168.63999032,44127.4790638742,86650.1135584019,1.2
"Generalists",406,29418.9655172414,72180.0814486902,3582.23729453171,7042.10067262837,1.3
"Specialists",1491,134130.2481556,432448.484844341,11199.4206771511,21968.3063369204,1.3
"Generalists",116,26683.6206896552,50701.4774571888,4707.51400124443,9324.6792335172,1.4
"Specialists",576,509540.972222222,1411438.92942662,58809.9553927759,115508.528937688,1.4
"Generalists",163,39624.5398773006,98790.7109968457,7737.88567500196,15280.1249920999,1.5
"Specialists",656,369563.109756098,1171908.69386619,45755.3473277616,89844.8504716438,1.5
"Generalists",44,83556.8181818182,118730.896427109,17899.3561123303,36097.4918429375,1.6
"Specialists",389,600181.748071979,1343010.00334071,68093.3101869713,133878.044580675,1.6
"Generalists",241,43319.9170124481,112621.142264644,7254.56550626008,14290.7514342907,1.7
"Specialists",1042,188060.94049904,467470.616644319,14481.7304133084,28416.7093247932,1.7
"Generalists",243,51513.9917695473,108487.409720595,6959.47057843008,13708.8704709619,1.8
"Specialists",1104,183930.434782609,599706.737788143,18049.0518074773,35414.3523051119,1.8
